"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Lat","Long","accessDate"
"Lake Vincent North","lake vincent north","lawa-100209",43649,"Polymictic","Unknown","southland","es",-46.5933716650854,168.826169422456,"09-Sep-2019"
"The Reservoir Centre","the reservoir centre","lawa-100208",43668,"Polymictic","Unknown","southland","es",-46.6611203493517,169.061400282069,"09-Sep-2019"
"The Reservoir West","the reservoir west","lawa-100207",43668,"Polymictic","Unknown","southland","es",-46.6618409966669,169.053072648876,"09-Sep-2019"
"Waiau Lagoon Middle","waiau lagoon middle","lawa-102220",26562,"Icoll","Shoreline","southland","es",-46.2117497673252,167.64439232452,"09-Sep-2019"
"Waiau Lagoon Monitoring Station","waiau lagoon monitoring station","lawa-102221",26562,"Icoll","Shoreline","southland","es",-46.214998210375,167.650118363706,"09-Sep-2019"
"Waiau Lagoon opp boat ramp","waiau lagoon opp boat ramp","lawa-102219",26562,"Icoll","Shoreline","southland","es",-46.2062165054487,167.634689163761,"09-Sep-2019"
"Lake Kohangatera","lake kohangatera","gw-00164",4,"Icoll","Shoreline","wellington","gwrc",-41.37428665,174.86451878,"09-Sep-2019"
"Lake Wairarapa Site 2","lake wairarapa site 2","gw-00258",1708,"Polymictic","Riverine","wellington","gwrc",-41.17632023,175.28475171,"09-Sep-2019"
"Lake Wairarapa Alsops Bay","lake wairarapa alsops bay","gw-00262",1708,"Brackish","Riverine","wellington","gwrc",-41.28214762,175.16811863,"09-Sep-2019"
"Lake Onoke 1","lake onoke site 1","gw-00257",1,"Icoll","Shoreline","wellington","gwrc",-41.37072987,175.13879965,"09-Sep-2019"
"Lake Wairarapa Middle","lake wairarapa middle","gw-00263",1708,"Polymictic","Riverine","wellington","gwrc",-41.2266738,175.21447038,"09-Sep-2019"
"Lake Oingo - Lake Centre","5498","hbrc-00174",36096,"Polymictic","Riverine","hawkes bay","hbrc",-39.5639571547735,176.753009116387,"09-Sep-2019"
"Lake Runanga - Lake Centre","5500","hbrc-00175",36215,"Polymictic","Riverine","hawkes bay","hbrc",-39.5837861234451,176.708651474648,"09-Sep-2019"
"Lake Waikareiti Top","5623","hbrc-00172",40396,"Stratified","Landslide","hawkes bay","hbrc",-38.7202333368706,177.162432269593,"09-Sep-2019"
"Lake Waikaremoana Top","5624","hbrc-00173",40050,"Stratified","Landslide","hawkes bay","hbrc",-38.7557543072579,177.11159407634,"09-Sep-2019"
"Lake Opouahi Top","5625","hbrc-00170",32478,"Stratified","Landslide","hawkes bay","hbrc",-39.1472928779335,176.835081990947,"09-Sep-2019"
"Lake Tutira Top","5627","hbrc-00176",36981,"Stratified","Landslide","hawkes bay","hbrc",-39.2305969054787,176.89262849435,"09-Sep-2019"
"Lake Waikopiro Top","5628","hbrc-00171",36980,"Stratified","Landslide","hawkes bay","hbrc",-39.2354251740846,176.893826659276,"09-Sep-2019"
"Omanuka Lagoon (Composite)","omanuka lagoon composite","hrc-00342",5306,"Polymictic","Aeolian","horizons","hrc",-40.32755192,175.3245683,"09-Sep-2019"
"Lake Wiritoa Composite","lake wiritoa composite","hrc-00337",18934,"Stratified","Aeolian","horizons","hrc",-39.9736599999999,175.08997,"09-Sep-2019"
"Lake William (Composite)","lake william (composite)","lawa-102308",13437,"Polymictic","Aeolian","horizons","hrc",-40.122894,175.311067,"09-Sep-2019"
"Lake Westmere (Composite)","lake westmere (composite)","hrc-00329",18951,"Polymictic","Aeolian","horizons","hrc",-40.10135804,175.2806986,"09-Sep-2019"
"Lake Pauri Composite","lake pauri composite","hrc-00335",18933,"Stratified","Aeolian","horizons","hrc",-39.97833,175.10087,"09-Sep-2019"
"Lake Horowhenua Composite","lake horowhenua composite","hrc-00333",4345,"Polymictic","Aeolian","horizons","hrc",-40.60968,175.25502,"09-Sep-2019"
"Lake Herbert (Composite)","lake herbert (composite)","hrc-00339",17363,"Polymictic","Aeolian","horizons","hrc",-40.1361899999999,175.29685,"09-Sep-2019"
"Lake Heaton (Composite)","lake heaton (composite)","hrc-00332",13446,"Polymictic","Aeolian","horizons","hrc",-40.10674,175.28882,"09-Sep-2019"
"Lake Dudding (Composite)","lake dudding (composite)","hrc-00331",13447,"Stratified","Aeolian","horizons","hrc",-40.10004,175.27992,"09-Sep-2019"
"Lake Alice (Composite)","lake alice (composite)","lawa-100250",13456,"Polymictic","Aeolian","horizons","hrc",-40.1340999999999,175.33197,"09-Sep-2019"
"100438","lake kai iwi at centre","nrc-00075",21918,"Stratified","Aeolian","northland","nrc",-35.81565151,173.65375923,"09-Sep-2019"
"100442","lake taharoa at centre","nrc-00087",21917,"Stratified","Aeolian","northland","nrc",-35.80791158,173.64619144,"09-Sep-2019"
"101032","lake ngatu at centre","nrc-00082",23691,"Polymictic","Aeolian","northland","nrc",-35.03576241,173.19851555,"09-Sep-2019"
"106734","lake rotokawau (aupouri) at center","nrc-00083",18719,"Polymictic","Aeolian","northland","nrc",-35.01822968,173.20569654,"09-Sep-2019"
"100448","lake waikare at centre","nrc-00090",21926,"Stratified","Aeolian","northland","nrc",-35.79890988,173.62989412,"09-Sep-2019"
"107776","lake carrot at north end","nrc-00071",23690,"Polymictic","Aeolian","northland","nrc",-35.02234449,173.18720356,"09-Sep-2019"
"101908","lake morehurehu at centre","nrc-00079",24628,"Stratified","Aeolian","northland","nrc",-34.64199635,172.99570091,"09-Sep-2019"
"108242","lake ngakapua north at centre","nrc-00080",18718,"Polymictic","Aeolian","northland","nrc",-35.01901944,173.19147086,"09-Sep-2019"
"101031","lake heather at centre","nrc-00072",23682,"Polymictic","Aeolian","northland","nrc",-35.05307814,173.19140776,"09-Sep-2019"
"101913","lake ngakapua south at centre","nrc-00081",18717,"Polymictic","Aeolian","northland","nrc",-35.0206406,173.19271328,"09-Sep-2019"
"101909","lake te kahika at centre","nrc-00088",24633,"Polymictic","Aeolian","northland","nrc",-34.62362678,173.00098181,"09-Sep-2019"
"108232","lake waihopo at centre","nrc-00089",24511,"Polymictic","Aeolian","northland","nrc",-34.75593886,173.04303894,"09-Sep-2019"
