"","agency","xmlAge","var","earliest","latest","nMeas","nMeas5","nSite","meanMeas","maxMeas","minMeas","nNA"
"40","hbrc",1,"TN","21-May-2008","19-Dec-2019",288,104,3,0.5,2.6,0.1,0
"41","hbrc",1,"TP","21-May-2008","19-Dec-2019",576,208,3,0,0.2,0,0
"42","hrc",1,"CHLA","17-Jul-2013","12-Mar-2020",365,272,15,30,718,1.5,0
"43","hrc",1,"ECOLI","17-Jul-2013","12-Mar-2020",333,239,15,45.8,2000,0,0
"44","hrc",1,"NH4N","17-Jul-2013","12-Mar-2020",364,270,15,0.1,3,0,0
"45","hrc",1,"TN","17-Jul-2013","12-Mar-2020",366,272,15,1.9,7.4,0.6,0
"46","hrc",1,"TP","17-Jul-2013","12-Mar-2020",366,272,15,0.2,3,0,0
"47","nrc",1,"CHLA","06-Jan-2004","19-Dec-2019",1495,440,26,10.8,305,0,0
"48","nrc",1,"ECOLI","24-Mar-2009","02-Mar-2016",6,1,5,70.7,187,1,1
"49","nrc",1,"NH4N","22-Feb-2004","19-Dec-2019",1422,447,26,0,1.5,0,0
"50","nrc",1,"pH","06-Jan-2004","19-Dec-2019",1497,453,26,7,10.3,3.2,0
"51","nrc",1,"Secchi","20-Jan-2004","19-Dec-2019",1472,442,26,3.6,18.2,0,1
"52","nrc",1,"TN","06-Jan-2004","19-Dec-2019",1521,447,26,0.6,9,0.1,0
"53","nrc",1,"TP","06-Jan-2004","19-Dec-2019",1512,447,26,0,0.8,0,0
"54","orc",1,"CHLA","14-Jan-2004","11-Jun-2019",1110,434,14,5.3,130,0,0
"55","orc",1,"ECOLI","14-Jan-2004","11-Jun-2019",1223,382,14,48.6,2200,1,0
"56","orc",1,"NH4N","14-Jan-2004","11-Jun-2019",1184,437,14,0,0.6,0,0
"57","orc",1,"pH","14-Jan-2004","11-Jun-2019",945,363,14,7.7,9.9,5.8,0
"58","orc",1,"Secchi","14-Jan-2004","23-Apr-2019",158,134,5,10.5,25.8,0.4,0
"59","orc",1,"TN","14-Jan-2004","11-Jun-2019",1175,431,14,0.4,3.1,0,0
"60","orc",1,"TP","14-Jan-2004","11-Jun-2019",1228,493,14,0,0.3,0,0
"61","trc",1,"CHLA","23-Feb-2004","17-Oct-2019",153,32,3,3.5,13.9,0,0
"62","trc",1,"ECOLI","18-Mar-2008","17-Oct-2019",38,26,2,69.6,1733,1,0
"63","trc",1,"NH4N","23-Feb-2004","17-Oct-2019",256,64,4,0,0.4,0,0
"64","trc",1,"pH","23-Feb-2004","17-Oct-2019",374,96,6,7.3,8.8,6.5,0
"65","trc",1,"Secchi","23-Feb-2004","17-Oct-2019",128,32,2,2.7,5.8,0.1,0
"66","trc",1,"TN","23-Feb-2004","17-Oct-2019",256,64,4,0.7,2.2,0.2,0
"67","trc",1,"TP","23-Feb-2004","17-Oct-2019",256,64,4,0,0.7,0,0
"68","wcrc",1,"CHLA","26-Jan-2004","18-Dec-2019",304,94,3,1.8,10.7,0.1,0
"69","wcrc",1,"NH4N","26-Jan-2004","18-Dec-2019",306,97,3,0,0.1,0,0
"70","wcrc",1,"Secchi","26-Jan-2004","18-Dec-2019",343,120,3,4.9,9.3,1.4,0
"71","wcrc",1,"TN","26-Jan-2004","18-Dec-2019",305,97,3,0.2,0.5,0.1,0
"72","wcrc",1,"TP","26-Jan-2004","18-Dec-2019",305,97,3,0,0,0,0
"73","wrc",1,"CHLA","07-Jan-2004","17-Dec-2019",1164,392,12,0,0.8,0,0
"74","wrc",1,"ECOLI","24-Apr-2017","17-Dec-2019",303,303,12,69.9,2200,1,0
"75","wrc",1,"NH4N","07-Jan-2004","17-Dec-2019",1166,392,12,0.1,3.1,0,0
"76","wrc",1,"pH","07-Jan-2004","17-Dec-2019",1173,399,12,7.3,10.5,4.3,0
"77","wrc",1,"Secchi","07-Jan-2004","17-Dec-2019",1048,387,12,1,7.1,0,0
"78","wrc",1,"TN","07-Jan-2004","17-Dec-2019",1166,392,12,1.7,8.6,0.2,0
"79","wrc",1,"TP","07-Jan-2004","17-Dec-2019",1166,392,12,0.1,1.1,0,0
