"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype","QC"
"lrt00e300","20-Jun-16",0.9,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Jun-16",7.2,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Mar-07",0.015,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Mar-07",0.018,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Mar-07",0.47,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Mar-07",7.5,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Mar-13",0.004,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Mar-13",0.04,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Mar-13",0.25,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Mar-13",7.8,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Mar-14",0.01,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Mar-14",0.015,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Mar-14",0.3,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Mar-14",7.6,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Oct-11",0.046,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Oct-11",0.051,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Oct-11",0.66,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Oct-11",7.3,"","pH",FALSE,"FALSE",""
"lrt00e300","20-Oct-16",0.052,"","NH4N",FALSE,"FALSE",""
"lrt00e300","20-Oct-16",0.062,"","TP",FALSE,"FALSE",""
"lrt00e300","20-Oct-16",0.83,"","TN",FALSE,"FALSE",""
"lrt00e300","20-Oct-16",7.4,"","pH",FALSE,"FALSE",""
"lrt00e300","21-Feb-05",0.016,"","NH4N",FALSE,"FALSE",""
"lrt00e300","21-Feb-05",0.028,"","TP",FALSE,"FALSE",""
"lrt00e300","21-Feb-05",0.35,"","TN",FALSE,"FALSE",""
"lrt00e300","21-Feb-05",7.9,"","pH",FALSE,"FALSE",""
"lrt00e300","21-Feb-11",0.008,"","NH4N",FALSE,"FALSE",""
"lrt00e300","21-Feb-11",0.037,"","TP",FALSE,"FALSE",""
"lrt00e300","21-Feb-11",0.43,"","TN",FALSE,"FALSE",""
"lrt00e300","21-Feb-11",8.6,"","pH",FALSE,"FALSE",""
"lrt00e300","21-Feb-12",0.016,"","NH4N",FALSE,"FALSE",""
"lrt00e300","21-Feb-12",0.043,"","TP",FALSE,"FALSE",""
"lrt00e300","21-Feb-12",0.33,"","TN",FALSE,"FALSE",""
"lrt00e300","21-Feb-12",8,"","pH",FALSE,"FALSE",""
"lrt00e300","21-Feb-13",0.011,"","NH4N",FALSE,"FALSE",""
"lrt00e300","21-Feb-13",0.029,"","TP",FALSE,"FALSE",""
"lrt00e300","21-Feb-13",0.31,"","TN",FALSE,"FALSE",""
"lrt00e300","21-Feb-13",8,"","pH",FALSE,"FALSE",""
"lrt00e300","21-Jun-18",0.02,"","NH4N",FALSE,"FALSE",""
"lrt00e300","21-Jun-18",0.094,"","TP",FALSE,"FALSE",""
"lrt00e300","21-Jun-18",0.85,"","TN",FALSE,"FALSE",""
"lrt00e300","21-Jun-18",7.7,"","pH",FALSE,"FALSE",""
"lrt00e300","21-Mar-05",0.014,"","TP",FALSE,"FALSE",""
"lrt00e300","21-Mar-05",0.019,"","NH4N",FALSE,"FALSE",""
"lrt00e300","21-Mar-05",0.38,"","TN",FALSE,"FALSE",""
"lrt00e300","21-Mar-05",7.9,"","pH",FALSE,"FALSE",""
"lrt00e300","21-Mar-06",0.01,"","NH4N",FALSE,"FALSE",""
