"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder"
"II633291","mangaharakeke u/s pokairoa confluence","ebop-00206",4019083,"bay of plenty","boprc","upland","exotic","rangitaiki",-38.3125563010494,176.732149578353,"24-Jul-2020","P",302,"4","4"
"EK206408","mangakakahi at linton park","ebop-00118",4012441,"bay of plenty","boprc","upland","exotic","kaituna",-38.1370046964046,176.218252360144,"24-Jul-2020","P",299,"3","2"
"GI416335","mangakino at rerewhakaaitu rd","ebop-00124",4018810,"bay of plenty","boprc","upland","exotic","rangitaiki",-38.3163251437059,176.478876302146,"24-Jul-2020","P",470,"2","1&2"
"IG937633","mangamate at te urewera boundary","ebop-00147",4022556,"bay of plenty","boprc","upland","native","rangitaiki",-38.4604898751668,176.774643534261,"24-Jul-2020","IF",341,"3","3"
"IL607501","mangaone at mangaone rd","ebop-00149",4008644,"bay of plenty","boprc","lowland","rural","tarawera",-38.0239546026795,176.714549950172,"24-Jul-2020","IF",64.99665260315,"3","1&3&2"
"JI362407","mangapapa at galatea rd","ebop-00125",4018783,"bay of plenty","boprc","upland","rural","rangitaiki",-38.2994159156479,176.814851130063,"24-Jul-2020","EF",298.6,"2","2&1"
"IK094269","mangato at tarawera forest","ebop-00126",4012847,"bay of plenty","boprc","lowland","exotic","tarawera",-38.1365792386558,176.661704376604,"24-Jul-2020","EF",77,"3","4"
"GN342605","mangatoetoe at old coach rd","ebop-00113",4003752,"bay of plenty","boprc","lowland","rural","waihi estuary",-37.8425133172807,176.448123705699,"24-Jul-2020","P",58,"3","2"
"CP652620","mangawhai at sh2","ebop-00193",4000893,"bay of plenty","boprc","lowland","rural","waipapa",-37.6726252747747,176.021963565124,"24-Jul-2020","P",24,"2","3"
"LL586886","maraetotara at robert lane","ebop-00179",4007551,"bay of plenty","boprc","lowland","rural","maraetotara coastal",-37.9781336396612,177.051192381003,"24-Jul-2020","P",70.25,"3","1&3"
"LL389822","maraetotara at burma rd","ebop-00201",4007888,"bay of plenty","boprc","lowland","native","maraetotara coastal",-37.9846378633786,177.029176337338,"24-Jul-2020","IF",83,"2","2"
"IN486083","mimiha at mimiha rd","ebop-00111",4004883,"bay of plenty","boprc","lowland","rural","mimiha coastal",-37.8820930457752,176.693627929963,"24-Jul-2020","P",90.5,"3","3&2"
"JK693267","moetahanga at above omataroa rd","lawa-100489",4013026,"bay of plenty","boprc","upland","native","rangitaiki",-38.1309507361275,176.843835104465,"24-Jul-2020","EF",283,"3","3"
"QM722911","motu at sh35","ebop-00211",4005253,"bay of plenty","boprc","lowland","native","motu",-37.8644961372797,177.628459993343,"24-Jul-2020","IF",60.5,"6","6&2"
"RO893938","nahunahu at sh35","lawa-100495",4001627,"bay of plenty","boprc","lowland","rural","waikawa coastal",-37.6770612346519,177.749493641228,"24-Jul-2020","EF",105,"3","3"
"JL684448","ngakauroa at macdonald rd","ebop-00155",4008878,"bay of plenty","boprc","lowland","rural","rangitaiki",-38.024793435309,176.837203710986,"24-Jul-2020","P",-1.57670152187,"4","4"
