"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"lake rotoiti at site 4 (integrated)",54730,2016,3.6,"Stratified","Volcanic"
"lake rotoiti at site 4 (integrated)",54730,2017,3.7,"Stratified","Volcanic"
"lake rotoiti at site 4 (integrated)",54730,2018,3.5,"Stratified","Volcanic"
"lake rotoiti at site 4 (integrated)",54730,2019,3.7,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2004,4.5,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2005,3.9,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2006,4,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2007,3.9,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2008,3.8,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2009,3.9,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2010,3.8,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2011,3.9,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2012,3.5,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2013,3.5,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2014,3.5,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2015,3.7,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2016,3.8,"Stratified","Volcanic"
"lake rotoiti at site 3 (integrated)",54730,2017,3.9,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2004,2.6,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2005,2.6,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2006,2.7,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2007,2.6,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2008,2.7,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2009,2.2,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2010,2.2,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2011,2.4,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2012,2.4,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2013,2.3,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2014,2.5,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2015,2.4,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2016,2.3,"Stratified","Volcanic"
"lake rotoma at site 1 (integrated)",40102,2017,2.4,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2006,3.8,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2009,3.9,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2010,4,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2011,4.3,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2012,4.1,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2013,3.9,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2014,4.1,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2015,4,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2016,3.8,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2017,4,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2018,4.1,"Stratified","Volcanic"
"lake rotomahana at site 2 (integrated)",54733,2019,3.8,"Stratified","Volcanic"
"lake rotorua at site 5 (integrated)",11133,2015,4.1,"Polymictic","Volcanic"
"lake rotorua at site 5 (integrated)",11133,2016,4.3,"Polymictic","Volcanic"
"lake rotorua at site 5 (integrated)",11133,2017,4.2,"Polymictic","Volcanic"
"lake rotorua at site 5 (integrated)",11133,2018,4.1,"Polymictic","Volcanic"
"lake rotorua at site 5 (integrated)",11133,2019,4.2,"Polymictic","Volcanic"
"lake rotorua at site 2 (integrated)",11133,2015,4.1,"Polymictic","Volcanic"
"lake rotorua at site 2 (integrated)",11133,2016,4.3,"Polymictic","Volcanic"
"lake rotorua at site 2 (integrated)",11133,2017,4.1,"Polymictic","Volcanic"
"lake rotorua at site 2 (integrated)",11133,2018,4.1,"Polymictic","Volcanic"
"lake rotorua at site 2 (integrated)",11133,2019,4.3,"Polymictic","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2005,3,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2009,3.1,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2010,2.9,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2011,2.7,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2012,2.8,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2013,2.7,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2014,2.9,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2015,2.9,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2016,2.6,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2017,2.7,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2018,3,"Stratified","Volcanic"
"lake tikitapu at site 1 (integrated)",15312,2019,2.7,"Stratified","Volcanic"
"wainono lagoon off lake road",12469,2004,6.6,"Polymictic","Shoreline"
"wainono lagoon off lake road",12469,2005,6.3,"Polymictic","Shoreline"
