"LawaID","CouncilSiteID","Agency","Parameter","Median","StateScore","ComparisonGroup","Altitude","Landuse"
"arc-00006","6804","ac","DRP",0.0125,3,"site|rural","All","Rural"
"arc-00006","6804","ac","TP",0.033,3,"site|rural","All","Rural"
"arc-00006","6804","ac","ECOLI",230,3,"site|rural","All","Rural"
"arc-00006","6804","ac","TURB",5.05,3,"site|lowland|rural","Lowland","Rural"
"arc-00006","6804","ac","NH4",0.00995,3,"site|lowland|rural","Lowland","Rural"
"arc-00006","6804","ac","PH",7.51,1,"site|lowland|rural","Lowland","Rural"
"arc-00006","6804","ac","TON",0.135,1,"site|lowland|rural","Lowland","Rural"
"arc-00006","6804","ac","TN",0.33,1,"site|lowland|rural","Lowland","Rural"
"arc-00006","6804","ac","DRP",0.0125,3,"site|lowland|rural","Lowland","Rural"
"arc-00006","6804","ac","TP",0.033,3,"site|lowland|rural","Lowland","Rural"
"arc-00006","6804","ac","ECOLI",230,3,"site|lowland|rural","Lowland","Rural"
"arc-00008","6604","ac","TURB",4.8,4,"site|All","All","All"
"arc-00008","6604","ac","NH4",0.0057,2,"site|All","All","All"
"arc-00008","6604","ac","PH",7.44,1,"site|All","All","All"
"arc-00008","6604","ac","TON",0.0173,1,"site|All","All","All"
"arc-00008","6604","ac","TN",0.22,1,"site|All","All","All"
"arc-00008","6604","ac","DRP",0.012,3,"site|All","All","All"
"arc-00008","6604","ac","TP",0.0305,3,"site|All","All","All"
"arc-00008","6604","ac","ECOLI",195,3,"site|All","All","All"
"arc-00008","6604","ac","TURB",4.8,3,"site|lowland","Lowland","All"
"arc-00008","6604","ac","NH4",0.0057,2,"site|lowland","Lowland","All"
"arc-00008","6604","ac","PH",7.44,1,"site|lowland","Lowland","All"
"arc-00008","6604","ac","TON",0.0173,1,"site|lowland","Lowland","All"
"arc-00008","6604","ac","TN",0.22,1,"site|lowland","Lowland","All"
"arc-00008","6604","ac","DRP",0.012,3,"site|lowland","Lowland","All"
"arc-00008","6604","ac","TP",0.0305,3,"site|lowland","Lowland","All"
"arc-00008","6604","ac","ECOLI",195,3,"site|lowland","Lowland","All"
"arc-00008","6604","ac","TURB",4.8,4,"site|rural","All","Rural"
"arc-00008","6604","ac","NH4",0.0057,2,"site|rural","All","Rural"
"arc-00008","6604","ac","PH",7.44,1,"site|rural","All","Rural"
"arc-00008","6604","ac","TON",0.0173,1,"site|rural","All","Rural"
"arc-00008","6604","ac","TN",0.22,1,"site|rural","All","Rural"
"arc-00008","6604","ac","DRP",0.012,3,"site|rural","All","Rural"
"arc-00008","6604","ac","TP",0.0305,3,"site|rural","All","Rural"
"arc-00008","6604","ac","ECOLI",195,3,"site|rural","All","Rural"
"arc-00008","6604","ac","TURB",4.8,3,"site|lowland|rural","Lowland","Rural"
"arc-00008","6604","ac","NH4",0.0057,2,"site|lowland|rural","Lowland","Rural"
"arc-00008","6604","ac","PH",7.44,1,"site|lowland|rural","Lowland","Rural"
"arc-00008","6604","ac","TON",0.0173,1,"site|lowland|rural","Lowland","Rural"
"arc-00008","6604","ac","TN",0.22,1,"site|lowland|rural","Lowland","Rural"
"arc-00008","6604","ac","DRP",0.012,3,"site|lowland|rural","Lowland","Rural"
"arc-00008","6604","ac","TP",0.0305,3,"site|lowland|rural","Lowland","Rural"
"arc-00008","6604","ac","ECOLI",195,3,"site|lowland|rural","Lowland","Rural"
"arc-00009","43829","ac","TURB",3.25,3,"site|All","All","All"
"arc-00009","43829","ac","NH4",0.00955,3,"site|All","All","All"
"arc-00009","43829","ac","PH",7.23,2,"site|All","All","All"
"arc-00009","43829","ac","TON",3.1,4,"site|All","All","All"
"arc-00009","43829","ac","TN",3.3,4,"site|All","All","All"
"arc-00009","43829","ac","DRP",0.0055,2,"site|All","All","All"
"arc-00009","43829","ac","TP",0.0155,2,"site|All","All","All"
"arc-00009","43829","ac","ECOLI",180,3,"site|All","All","All"
"arc-00009","43829","ac","TURB",3.25,3,"site|lowland","Lowland","All"
"arc-00009","43829","ac","NH4",0.00955,3,"site|lowland","Lowland","All"
"arc-00009","43829","ac","PH",7.23,2,"site|lowland","Lowland","All"
"arc-00009","43829","ac","TON",3.1,4,"site|lowland","Lowland","All"
"arc-00009","43829","ac","TN",3.3,4,"site|lowland","Lowland","All"
"arc-00009","43829","ac","DRP",0.0055,1,"site|lowland","Lowland","All"
"arc-00009","43829","ac","TP",0.0155,2,"site|lowland","Lowland","All"
"arc-00009","43829","ac","ECOLI",180,3,"site|lowland","Lowland","All"
"arc-00009","43829","ac","TURB",3.25,3,"site|rural","All","Rural"
"arc-00009","43829","ac","NH4",0.00955,3,"site|rural","All","Rural"
"arc-00009","43829","ac","PH",7.23,2,"site|rural","All","Rural"
"arc-00009","43829","ac","TON",3.1,4,"site|rural","All","Rural"
"arc-00009","43829","ac","TN",3.3,4,"site|rural","All","Rural"
"arc-00009","43829","ac","DRP",0.0055,2,"site|rural","All","Rural"
"arc-00009","43829","ac","TP",0.0155,2,"site|rural","All","Rural"
"arc-00009","43829","ac","ECOLI",180,3,"site|rural","All","Rural"
"arc-00009","43829","ac","TURB",3.25,3,"site|lowland|rural","Lowland","Rural"
"arc-00009","43829","ac","NH4",0.00955,3,"site|lowland|rural","Lowland","Rural"
"arc-00009","43829","ac","PH",7.23,2,"site|lowland|rural","Lowland","Rural"
"arc-00009","43829","ac","TON",3.1,4,"site|lowland|rural","Lowland","Rural"
"arc-00009","43829","ac","TN",3.3,4,"site|lowland|rural","Lowland","Rural"
"arc-00009","43829","ac","DRP",0.0055,1,"site|lowland|rural","Lowland","Rural"
"arc-00009","43829","ac","TP",0.0155,2,"site|lowland|rural","Lowland","Rural"
"arc-00009","43829","ac","ECOLI",180,2,"site|lowland|rural","Lowland","Rural"
"arc-00010","8110","ac","TURB",3.4,3,"site|All","All","All"
"arc-00010","8110","ac","NH4",0.0098,3,"site|All","All","All"
"arc-00010","8110","ac","PH",7.505,1,"site|All","All","All"
"arc-00010","8110","ac","TON",1.2,4,"site|All","All","All"
"arc-00010","8110","ac","TN",1.39,4,"site|All","All","All"
"arc-00010","8110","ac","DRP",0.026,4,"site|All","All","All"
"arc-00010","8110","ac","TP",0.046,4,"site|All","All","All"
"arc-00010","8110","ac","ECOLI",600,4,"site|All","All","All"
"arc-00010","8110","ac","TURB",3.4,3,"site|lowland","Lowland","All"
"arc-00010","8110","ac","NH4",0.0098,3,"site|lowland","Lowland","All"
"arc-00010","8110","ac","PH",7.505,1,"site|lowland","Lowland","All"
"arc-00010","8110","ac","TON",1.2,4,"site|lowland","Lowland","All"
"arc-00010","8110","ac","TN",1.39,4,"site|lowland","Lowland","All"
"arc-00010","8110","ac","DRP",0.026,4,"site|lowland","Lowland","All"
"arc-00010","8110","ac","TP",0.046,3,"site|lowland","Lowland","All"
"arc-00010","8110","ac","ECOLI",600,4,"site|lowland","Lowland","All"
"arc-00010","8110","ac","TURB",3.4,3,"site|urban","All","Urban"
"arc-00010","8110","ac","NH4",0.0098,1,"site|urban","All","Urban"
"arc-00010","8110","ac","PH",7.505,1,"site|urban","All","Urban"
"arc-00010","8110","ac","TON",1.2,3,"site|urban","All","Urban"
"arc-00010","8110","ac","TN",1.39,3,"site|urban","All","Urban"
"arc-00010","8110","ac","DRP",0.026,3,"site|urban","All","Urban"
"arc-00010","8110","ac","TP",0.046,3,"site|urban","All","Urban"
"arc-00010","8110","ac","ECOLI",600,3,"site|urban","All","Urban"
"arc-00010","8110","ac","TURB",3.4,3,"site|lowland|urban","Lowland","Urban"
"arc-00010","8110","ac","NH4",0.0098,1,"site|lowland|urban","Lowland","Urban"
"arc-00010","8110","ac","PH",7.505,1,"site|lowland|urban","Lowland","Urban"
"arc-00010","8110","ac","TON",1.2,3,"site|lowland|urban","Lowland","Urban"
"arc-00010","8110","ac","TN",1.39,3,"site|lowland|urban","Lowland","Urban"
"arc-00010","8110","ac","DRP",0.026,3,"site|lowland|urban","Lowland","Urban"
"arc-00010","8110","ac","TP",0.046,3,"site|lowland|urban","Lowland","Urban"
"arc-00010","8110","ac","ECOLI",600,4,"site|lowland|urban","Lowland","Urban"
"arc-00013","7904","ac","TURB",4.15,3,"site|All","All","All"
"arc-00013","7904","ac","NH4",0.009,3,"site|All","All","All"
"arc-00013","7904","ac","PH",7.38,1,"site|All","All","All"
"arc-00013","7904","ac","TON",0.1095,2,"site|All","All","All"
"arc-00013","7904","ac","TN",0.245,1,"site|All","All","All"
"arc-00013","7904","ac","DRP",0.009,2,"site|All","All","All"
"arc-00013","7904","ac","TP",0.0215,2,"site|All","All","All"
"arc-00013","7904","ac","ECOLI",475,4,"site|All","All","All"
