"LawaSiteID","CouncilSiteID","SiteID","Region","Agency","SWQAltitude","SWQLanduse","Measurement","Scope","Q0","Q25","Q50","Q75","Q100","N"
"ecan-00129","sq26369","irishman creek u/s sh8","canterbury","ecan","Upland","Rural","BDISC","Site",5.34,5.34,5.34,5.34,5.34,1
"ecan-00130","sq30011","leader river u/s sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",2.58,2.58,2.58,2.58,2.58,1
"ecan-00134","sq30184","ashley river u/s ashley gorge rd","canterbury","ecan","Upland","Forest","BDISC","Site",4.85,4.85,4.85,4.85,4.85,1
"ecan-00135","sq34626","living springs stream at allendale","canterbury","ecan","Lowland","Rural","BDISC","Site",0.86,0.86,0.86,0.86,0.86,1
"ecan-00136","sq34711","conway river u/s sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",2.415,2.415,2.415,2.415,2.415,1
"ecan-00137","sq34865","waitohi river 1.6km u/s hurunui confluence","canterbury","ecan","Upland","Forest","BDISC","Site",3.77,3.77,3.77,3.77,3.77,1
"ecan-00138","sq34866","st leonards drain at recorder","canterbury","ecan","Lowland","Rural","BDISC","Site",1.91,1.91,1.91,1.91,1.91,1
"ecan-00139","sq34869","mason river d/s sh70","canterbury","ecan","Upland","Rural","BDISC","Site",1.145,1.145,1.145,1.145,1.145,1
"ecan-00141","sq34903","north brook u/s marsh rd","canterbury","ecan","Lowland","Rural","BDISC","Site",1.47,1.47,1.47,1.47,1.47,1
"ecan-00145","sq26931","bush stream rangitata gorge road, at bridge","canterbury","ecan","Upland","Rural","BDISC","Site",5.935,5.935,5.935,5.935,5.935,1
"ecan-00146","sq26932","deep stream access road near tui house","canterbury","ecan","Upland","Rural","BDISC","Site",3.95,3.95,3.95,3.95,3.95,1
"ecan-00148","sq30390","south brook u/s marsh rd","canterbury","ecan","Lowland","Urban","BDISC","Site",1.91,1.91,1.91,1.91,1.91,1
"ecan-00149","sq30707","aylmers valley stream opposite aubrey st","canterbury","ecan","Lowland","Urban","BDISC","Site",1.805,1.805,1.805,1.805,1.805,1
"ecan-00151","sq30945","waireka/waianiwaniwa river u/s auchenflower rd","canterbury","ecan","Upland","Rural","BDISC","Site",1.09,1.09,1.09,1.09,1.09,1
"ecan-00152","sq32732","french farm stream at recorder","canterbury","ecan","Lowland","Rural","BDISC","Site",1.48,1.48,1.48,1.48,1.48,1
"ecan-00153","sq33148","conway river u/s inland road","canterbury","ecan","Upland","Rural","BDISC","Site",0.37,0.37,0.37,0.37,0.37,1
"ecan-00154","sq33899","okarahia stream u/s sh1","canterbury","ecan","Lowland","Forest","BDISC","Site",1.65,1.65,1.65,1.65,1.65,1
"ecan-00155","sq34569","te wharau stream u/s charteris bay road","canterbury","ecan","Lowland","Urban","BDISC","Site",1.525,1.525,1.525,1.525,1.525,1
"ecan-00156","sq35156","wainui stream u/s wainui main rd","canterbury","ecan","Lowland","Rural","BDISC","Site",1.175,1.175,1.175,1.175,1.175,1
"ecan-00157","sq35157","takamatua stream u/s sh75","canterbury","ecan","Lowland","Rural","BDISC","Site",1.77,1.77,1.77,1.77,1.77,1
"ecan-00160","sq35172","kahutara river at dairy farm rd","canterbury","ecan","Lowland","Rural","BDISC","Site",3.05,3.05,3.05,3.05,3.05,1
"ecan-00161","sq35173","blue duck creek above sh1","canterbury","ecan","Lowland","Forest","BDISC","Site",2.17,2.17,2.17,2.17,2.17,1
"ecan-00162","sq35174","hapuku river at sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",0.23,0.23,0.23,0.23,0.23,1
"ecan-00163","sq35234","barrys bay stream u/s barrys bay valley rd","canterbury","ecan","Lowland","Rural","BDISC","Site",1.015,1.015,1.015,1.015,1.015,1
"ecan-00168","sq35080","ashburton river u/s mouth - nth bank","canterbury","ecan","Lowland","Rural","BDISC","Site",1.145,1.145,1.145,1.145,1.145,1
"ecan-00169","sq35873","ashburton river south branch at quarry road","canterbury","ecan","Upland","Rural","BDISC","Site",0.77,0.77,0.77,0.77,0.77,1
"ecan-00170","sq35874","gentleman smith stream at hakatere-heron road","canterbury","ecan","Upland","Rural","BDISC","Site",2.91,2.91,2.91,2.91,2.91,1
"ecan-00171","sq35875","lambies stream at ashburton gorge road","canterbury","ecan","Upland","Rural","BDISC","Site",1.51,1.51,1.51,1.51,1.51,1
"ecan-00172","sq34417","pahau river at recorder","canterbury","ecan","Lowland","Rural","BDISC","Site",2.1,2.1,2.1,2.1,2.1,1
"ecan-00174","sq35872","mandamus river at tekoa road","canterbury","ecan","Upland","Rural","BDISC","Site",5.715,5.715,5.715,5.715,5.715,1
"ecan-00175","sq30215","taranaki creek 20m u/s gressons rd","canterbury","ecan","Lowland","Rural","BDISC","Site",4.995,4.995,4.995,4.995,4.995,1
"ecan-00176","sq33274","lyell creek at mill road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.585,1.585,1.585,1.585,1.585,1
"ecan-00177","sq21044","north branch ohapi creek guild rd","canterbury","ecan","Lowland","Rural","BDISC","Site",1.95,1.95,1.95,1.95,1.95,1
"ecan-00178","sq21045","ohapi creek guild rd","canterbury","ecan","Lowland","Forest","BDISC","Site",1.21,1.21,1.21,1.21,1.21,1
"ecan-00179","sq21046","ohapi creek south branch guild rd","canterbury","ecan","Lowland","Forest","BDISC","Site",1.37,1.37,1.37,1.37,1.37,1
"ecan-00180","sq20450","pareora river sh1","canterbury","ecan","Lowland","Rural","BDISC","Site",6.5,6.5,6.5,6.5,6.5,1
"ecan-00181","sq20175","rangitata river mouth","canterbury","ecan","Lowland","Rural","BDISC","Site",1.48,1.48,1.48,1.48,1.48,1
"ecan-00183","sq21254","waikakahi stream te maiharoa road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.9,1.9,1.9,1.9,1.9,1
"ecan-00184","sq20785","tekapo river at steel bridge","canterbury","ecan","Upland","Rural","BDISC","Site",3.2,3.2,3.2,3.2,3.2,1
"ecan-00185","sq35119","twizel river d/s black stilt reserve","canterbury","ecan","Upland","Rural","BDISC","Site",4.97,4.97,4.97,4.97,4.97,1
"ecan-00186","sq35792","quailburn quailburn road","canterbury","ecan","Upland","Rural","BDISC","Site",1.47,1.47,1.47,1.47,1.47,1
"ecan-00187","sq35876","ahuriri river ben omar","canterbury","ecan","Upland","Rural","BDISC","Site",1.56,1.56,1.56,1.56,1.56,1
"ecan-00188","sq35871","otekaieke river special school road","canterbury","ecan","Upland","Rural","BDISC","Site",3.62,3.62,3.62,3.62,3.62,1
"ecan-00190","sq35236","purau stream 100m u/s purau ave","canterbury","ecan","Lowland","Urban","BDISC","Site",2.15,2.15,2.15,2.15,2.15,1
"ecan-00192","sq35818","clarence river over jacks pass","canterbury","ecan","Upland","Rural","BDISC","Site",3.065,3.065,3.065,3.065,3.065,1
"ecan-00193","sq35798","hinds river lower beach road","canterbury","ecan","Lowland","Forest","BDISC","Site",6.435,6.435,6.435,6.435,6.435,1
"ecan-00194","sq26242","parakanoi drain lower beach road","canterbury","ecan","Lowland","Rural","BDISC","Site",1.31,1.31,1.31,1.31,1.31,1
"ecan-00195","sq35800","clarence river above river mouth","canterbury","ecan","Lowland","Rural","BDISC","Site",0.125,0.125,0.125,0.125,0.125,1
"ecan-00240","ch1","Hurunui at Mandamus (NRWQN) (CH1)","canterbury","niwa","Upland","Forest","BDISC","Site",1.47,1.47,1.47,1.47,1.47,1
"ecan-00262","tk2","Opihi at Rockwood (NRWQN) (TK2)","canterbury","niwa","Upland","Rural","BDISC","Site",4.405,4.405,4.405,4.405,4.405,1
"ecan-10026","sq20203","orari river gorge","canterbury","ecan","Upland","Rural","BDISC","Site",4.27,4.27,4.27,4.27,4.27,1
"ecan-10028","ch4","Waimakariri above old HW Br. (NRWQN) (CH4)","canterbury","niwa","Lowland","Rural","BDISC","Site",0.4375,0.4375,0.4375,0.4375,0.4375,1
"ecan-10029","sq20606","pareora river pareora huts","canterbury","ecan","Lowland","Rural","BDISC","Site",4.51,4.51,4.51,4.51,4.51,1
"ecan-10086","sq33476","lyell creek above mouth","canterbury","ecan","Lowland","Urban","BDISC","Site",1.29,1.29,1.29,1.29,1.29,1
"es-00001","dn9","Waiau at Tuatapere (NRWQN) (DN9)","southland","niwa","Lowland","Rural","BDISC","Site",2.475,2.475,2.475,2.475,2.475,1
"es-00102","dn5","Mataura at Seaward Down (NRWQN) (DN5)","southland","niwa","Lowland","Rural","BDISC","Site",1.2425,1.2425,1.2425,1.2425,1.2425,1
"ew-00001","14393","awakino river at gribbon rd","waikato","wrc","Lowland","Rural","BDISC","Site",2.32,2.32,2.32,2.32,2.32,1
"ew-00002","14395","awakino river at sh3 awakau rd junction","waikato","wrc","Lowland","Forest","BDISC","Site",1.6,1.6,1.6,1.6,1.6,1
"ew-00003","14419","awaroa river (waiuku) at otaua rd br opp moseley rd","waikato","wrc","Lowland","Rural","BDISC","Site",0.42,0.42,0.42,0.42,0.42,1
"ew-00004","14435","awaroa stm (rotowaro) at sansons br @ rotowaro-huntly rd","waikato","wrc","Lowland","Rural","BDISC","Site",1.1,1.1,1.1,1.1,1.1,1
"ew-00005","24166","hikutaia river at old maratoto rd","waikato","wrc","Lowland","Forest","BDISC","Site",3.18,3.18,3.18,3.18,3.18,1
"ew-00006","24172","hinemaiaia river at sh1","waikato","wrc","Upland","Forest","BDISC","Site",2.37,2.37,2.37,2.37,2.37,1
"ew-00007","36706","kaniwhaniwha stm at wright rd","waikato","wrc","Lowland","Rural","BDISC","Site",0.74,0.74,0.74,0.74,0.74,1
"ew-00008","36745","karapiro stm at hickey rd bridge - cambridge","waikato","wrc","Lowland","Forest","BDISC","Site",0.86,0.86,0.86,0.86,0.86,1
"ew-00009","36768","kauaeranga river at smiths cableway/recorder","waikato","wrc","Lowland","Forest","BDISC","Site",3.81,3.81,3.81,3.81,3.81,1
"ew-00010","36800","kawaunui stm at sh5 br","waikato","wrc","Upland","Rural","BDISC","Site",1.255,1.255,1.255,1.255,1.255,1
"ew-00011","36867","kirikiriroa stm at tauhara dr","waikato","wrc","Lowland","Urban","BDISC","Site",0.43,0.43,0.43,0.43,0.43,1
"ew-00012","36890","komakorau stm at henry rd","waikato","wrc","Lowland","Rural","BDISC","Site",0.14,0.14,0.14,0.14,0.14,1
"ew-00013","36998","kuratau river at sh41 moerangi","waikato","wrc","Upland","Forest","BDISC","Site",2.685,2.685,2.685,2.685,2.685,1
"ew-00016","37523","little waipa stm at arapuni - putaruru rd","waikato","wrc","Lowland","Rural","BDISC","Site",1.675,1.675,1.675,1.675,1.675,1
"ew-00017","37631","mangaharakeke stm (atiamuri) at sh30 (off jct sh1)","waikato","wrc","Upland","Rural","BDISC","Site",0.85,0.85,0.85,0.85,0.85,1
"ew-00018","37700","mangakara stm (reporoa) at sh5","waikato","wrc","Upland","Rural","BDISC","Site",0.79,0.79,0.79,0.79,0.79,1
"ew-00019","37720","mangakino stm (whakamaru) at sandel rd","waikato","wrc","Upland","Forest","BDISC","Site",1.775,1.775,1.775,1.775,1.775,1
