"CouncilSiteID","SiteID","LawaSiteID","NZReach","Region","Agency","SWQAltitude","SWQLanduse","Catchment","Lat","Long","accessDate","Landcover","Altitude","Order","StreamOrder","AltitudeCl"
"8609","orere b","arc-00138",2007114,"auckland","arc","Unstated",NA,"orere river",-36.9924392470383,175.212774524875,"25-Jun-2020","Forest",201,"2","2","Upland"
"7172","otanerua","arc-00139",2003019,"auckland","arc","Unstated",NA,"otanerua stream",-36.5637353885856,174.67433854996,"25-Jun-2020","Forest",60,"1","1","Lowland"
"1043827","puhinui trib (soft)","arc-00140",2007176,"auckland","arc","Unstated",NA,"puhinui stream",-37.0017324830907,174.91196547795,"25-Jun-2020","Rural",88,"2","1&2","Lowland"
"1043828","puhinui upper (hard)","arc-00141",2007284,"auckland","arc","Unstated",NA,"puhinui stream",-37.0011683693927,174.91117596724,"25-Jun-2020","Rural",100,"3","3","Lowland"
"7012","puhoi","arc-00142",2002429,"auckland","arc","Unstated",NA,"puhoi river",-36.4934969575699,174.615598356253,"25-Jun-2020","Rural",91,"1","1&3","Lowland"
"7212","shakespear","arc-00144",2003461,"auckland","arc","Unstated",NA,"slippery creek",-36.6100113826264,174.833041000104,"25-Jun-2020","Rural",50,"1","1","Lowland"
"43918","symonds st @ ponga","arc-00145",2008260,"auckland","arc","Unstated",NA,"symonds stream",-37.0861528392223,174.975441532674,"25-Jun-2020","Rural",144.333333333333,"3","3&1","Lowland"
"7526","vaughan upper","arc-00146",2004154,"auckland","arc","Unstated",NA,"vaughans stream",-36.6895320333658,174.726778271552,"25-Jun-2020","Rural",42,"1","1","Lowland"
"44619","waitakere river","arc-00147",2005661,"auckland","arc","Unstated",NA,"cascade stream",-36.8672414666848,174.499214639012,"25-Jun-2020","Forest",63,"3","4","Lowland"
"44470","wekatahi","arc-00148",2006412,"auckland","arc","Unstated",NA,"wekatahi creek",-36.9429717471456,174.47714906939,"25-Jun-2020","Forest",196.5,"2","1","Upland"
"8023","avondale @ reserve","lawa-102236",2006388,"auckland","arc","Unstated",NA,"wairoa river",-36.9342024082176,174.666387006265,"25-Jun-2020","Urban",64.5,"1","1","Lowland"
"8022","avondale @ thuja pl","lawa-102238",2006340,"auckland","arc","Unstated",NA,"avondale",-36.9293968579647,174.678643586042,"25-Jun-2020","Urban",52,"2","2","Lowland"
"45745","waiwhiu @ frith","lawa-102240",2001157,"auckland","arc","Unstated",NA,"hoteo river",-36.2910609782856,174.562011596161,"25-Jun-2020","Forest",270,"1","1","Upland"
"645519","makarau","arc-00061",2003057,"auckland","arc","lowland","forest","makarau",-36.576039425937,174.50665072424,"25-Jun-2020","Rural",118.5,"1","1&2","Lowland"
"BQ964696","aongatete at above pine ridge lane","ebop-00165",4000540,"bay of plenty","boprc","lowland","urban","waihi beach",-37.397742403468,175.933099221882,"25-Jun-2020","Forest",38.75,"4","4&1","Lowland"
"IM796551","awakaponga at manawahe rd","ebop-00134",4006018,"bay of plenty","boprc","lowland","rural","tarawera",-37.9288200408995,176.731258024931,"25-Jun-2020","Rural",176.7222671509,"2","1&3","Upland"
"JM074476","awakaponga at sh 2","ebop-00133",4005938,"bay of plenty","boprc","lowland","rural","tarawera",-37.9345403211481,176.763178040202,"25-Jun-2020","Rural",-2.86356075606,"3","1&3","Lowland"
"IM920999","awatarariki at above sh 2","ebop-00156",4004934,"bay of plenty","boprc","lowland","forest","tarawera",-37.888026888724,176.74326746494,"25-Jun-2020","Forest",54.3067474365,"3","3","Lowland"
"BQ589878","boyd east creek at uretara orchard ltd","ebop-00168",4000379,"bay of plenty","boprc","lowland","rural","uretara",-37.5624881371204,175.897172616537,"25-Jun-2020","Rural",26,"2","3","Lowland"
"IK074505","buddles at fenton mill rd","ebop-00127",4012161,"bay of plenty","boprc","lowland","forest","tarawera",-38.1154061544531,176.658353653195,"25-Jun-2020","Forest",65,"4","4","Lowland"
"GD792833","flaxy creek at kaingaroa forest","ebop-00208",4026964,"bay of plenty","boprc","upland","forest","rangitaiki",-38.7200318538799,176.541585421987,"25-Jun-2020","Forest",715,"2","2","Upland"
"IH854541","haumea at haumea rd","ebop-00146",4020775,"bay of plenty","boprc","upland","rural","rangitaiki",-38.3791863492847,176.760910896845,"25-Jun-2020","Rural",161,"5","2","Upland"
"JH152875","hikurangi at grant rd","ebop-00145",4019998,"bay of plenty","boprc","upland","rural","rangitaiki",-38.3480691198663,176.793431007138,"25-Jun-2020","Rural",191,"3","3&2","Upland"
"GO496071","kaikokopu at 175 kaikokopu rd","ebop-00107",4002617,"bay of plenty","boprc","lowland","rural","waihi estuary",-37.8000597774489,176.463552432463,"25-Jun-2020","Rural",8.5,"4","1&4","Lowland"
"HK221324","kaipara at tarawera falls rd","ebop-00128",4012778,"bay of plenty","boprc","lowland","forest","tarawera",-38.134647699604,176.562050498868,"25-Jun-2020","Forest",129,"3","3","Lowland"
"DO960965","kaitemako at welcome bay rd","ebop-00185",4001531,"bay of plenty","boprc","lowland","urban","kaitemako",-37.7277072351003,176.172602526316,"25-Jun-2020","Rural",28,"3","3","Lowland"
"FN483016","kaituna trib. at maungarangi rd","lawa-100486",4004928,"bay of plenty","boprc","lowland","forest","kaituna",-37.8982906210395,176.353042969189,"25-Jun-2020","Forest",128.333333333333,"2","2&1","Lowland"
"JK670713","kakahotoa at omataroa forest","lawa-100488",4011431,"bay of plenty","boprc","upland","forest","rangitaiki",-38.0908762673173,176.839110890288,"25-Jun-2020","Forest",187.518936157,"3","1&2&3","Upland"
"IL616616","karaponga at mcivor rd","ebop-00160",4008127,"bay of plenty","boprc","lowland","rural","tarawera",-38.0135717093585,176.715004381314,"25-Jun-2020","Rural",198.7630500795,"3","1&3","Upland"
"FO123493","raparapahoe at te puke highway","ebop-00109",4002228,"bay of plenty","boprc","lowland","rural","kaituna",-37.7665584129772,176.306154584741,"25-Jun-2020","Rural",0.8853328749535,"4","4&1","Lowland"
"RO685757","kopua at sh 35","lawa-100494",4001899,"bay of plenty","boprc","lowland","rural","waikawa coastal",-37.6943116628298,177.727012095527,"25-Jun-2020","Forest",281,"1","1","Upland"
"DO466896","kopurererua trib. at sh 29","ebop-00187",4001649,"bay of plenty","boprc","lowland","rural","kopurererua",-37.7354223292293,176.116831561852,"25-Jun-2020","Rural",71.5,"2","1","Lowland"
"KK231108","kotorenui at kotorenui rd","lawa-100501",4013595,"bay of plenty","boprc","lowland","forest","whakatane",-38.1432245471255,176.905843531758,"25-Jun-2020","Forest",121,"1","3","Lowland"
"ML366042","kutarere  at sh 2","ebop-00175",4010701,"bay of plenty","boprc","lowland","rural","kutarere area",-38.0508601006698,177.14404003165,"25-Jun-2020","Rural",131.5,"2","2&1","Lowland"
"GK027882","lake okataina trib. at western okataina track","ebop-00121",4010857,"bay of plenty","boprc","upland","forest","kaituna",-38.0885064829066,176.423686697277,"25-Jun-2020","Forest",416,"1","2","Upland"
"FK336093","lake okereka trib. at millar rd","ebop-00119",4013582,"bay of plenty","boprc","upland","rural","tarawera",-38.1617618808697,176.348314564689,"25-Jun-2020","Rural",399,"3","1&3","Upland"
"GL803445","lake rotoehu trib. at sh 30","ebop-00116",4008961,"bay of plenty","boprc","upland","forest","lake rotoehu",-38.035249871518,176.509603021759,"25-Jun-2020","Rural",335,"1","1","Upland"
"II633291","mangaharakeke at above confluence","ebop-00206",4019083,"bay of plenty","boprc","upland","forest","rangitaiki",-38.3125563010494,176.732149578353,"25-Jun-2020","Rural",302,"4","4","Upland"
"EK206408","mangakakahi at linton park","ebop-00118",4012441,"bay of plenty","boprc","upland","forest","kaituna",-38.1370046964046,176.218252360144,"25-Jun-2020","Rural",299,"3","2","Upland"
"GI416335","mangakino at rerewhakaaitu rd","ebop-00124",4018810,"bay of plenty","boprc","upland","forest","rangitaiki",-38.3163251437059,176.478876302146,"25-Jun-2020","Rural",470,"2","1&2","Upland"
"IG937633","mangamate at te urewera boundary","ebop-00147",4022556,"bay of plenty","boprc","upland","forest","rangitaiki",-38.4604898751668,176.774643534261,"25-Jun-2020","Forest",341,"3","3","Upland"
"IL607501","mangaone at 9 mangaone rd","ebop-00149",4008644,"bay of plenty","boprc","lowland","rural","tarawera",-38.0239546026795,176.714549950172,"25-Jun-2020","Forest",64.99665260315,"3","1&3&2","Lowland"
"JI362407","mangapapa at galatea rd","ebop-00125",4018783,"bay of plenty","boprc","upland","rural","rangitaiki",-38.2994159156479,176.814851130063,"25-Jun-2020","Forest",298.6,"2","2&1","Upland"
"IK094269","mangato at tarawera forest","ebop-00126",4012847,"bay of plenty","boprc","lowland","forest","tarawera",-38.1365792386558,176.661704376604,"25-Jun-2020","Forest",77,"3","4","Lowland"
"GN342605","mangatoetoe at old coach rd","ebop-00113",4003752,"bay of plenty","boprc","lowland","rural","waihi estuary",-37.8425133172807,176.448123705699,"25-Jun-2020","Rural",58,"3","2","Lowland"
"CP652620","mangawhai at sh 2","ebop-00193",4000893,"bay of plenty","boprc","lowland","rural","waipapa",-37.6726252747747,176.021963565124,"25-Jun-2020","Rural",24,"2","3","Lowland"
"LL389822","maraetotara at burma rd","ebop-00201",4007888,"bay of plenty","boprc","lowland","forest","maraetotara coastal",-37.9846378633786,177.029176337338,"25-Jun-2020","Forest",83,"2","2","Lowland"
"IN486083","mimiha at mimiha rd","ebop-00111",4004883,"bay of plenty","boprc","lowland","rural","mimiha coastal",-37.8820930457752,176.693627929963,"25-Jun-2020","Rural",90.5,"3","3&2","Lowland"
"JK693267","moetahanga at above omataroa rd","lawa-100489",4013026,"bay of plenty","boprc","upland","forest","rangitaiki",-38.1309507361275,176.843835104465,"25-Jun-2020","Forest",283,"3","3","Upland"
"QM722911","motu at sh 35","ebop-00211",4005253,"bay of plenty","boprc","lowland","forest","motu",-37.8644961372797,177.628459993343,"25-Jun-2020","Forest",60.5,"6","6&2","Lowland"
"RO893938","nahunahu at sh 35","lawa-100495",4001627,"bay of plenty","boprc","lowland","rural","waikawa coastal",-37.6770612346519,177.749493641228,"25-Jun-2020","Forest",105,"3","3","Lowland"
"JL684448","ngakauroa at macdonald rd","ebop-00155",4008878,"bay of plenty","boprc","lowland","rural","rangitaiki",-38.024793435309,176.837203710986,"25-Jun-2020","Rural",-1.57670152187,"4","4","Lowland"
"CO436131","ngamuwahine at 217 ngamuwahine rd","ebop-00224",4002936,"bay of plenty","boprc","upland","forest","wairoa",-37.8073467609668,176.002875411371,"25-Jun-2020","Forest",244,"4","4","Upland"
"EL187015","ngongotaha at ngongotaha domain","ebop-00142",4010395,"bay of plenty","boprc","upland","rural","kaituna",-38.0824793891929,176.213681360004,"25-Jun-2020","Rural",369.25,"5","1&5","Upland"
"DK804886","ngongotaha at paradise valley rd","ebop-00141",4010809,"bay of plenty","boprc","upland","rural","kaituna",-38.0948052704845,176.170569818462,"25-Jun-2020","Rural",370,"5","5","Upland"
"DK798891","ngongotaha at upper paradise valley rd","ebop-00220",4010809,"bay of plenty","boprc","upland","rural","kaituna",-38.0948584871426,176.169933698962,"25-Jun-2020","Rural",370,"5","5","Upland"
"BQ450716","ngututuru at 240 rea rd","ebop-00169",4000405,"bay of plenty","boprc","lowland","rural","te rereatukahia",-37.5774034107214,175.881980099269,"25-Jun-2020","Rural",326,"2","1","Upland"
"GM013930","oeuteheuheu at allport rd","ebop-00159",4005167,"bay of plenty","boprc","lowland","forest","waihi estuary",-37.9043607921215,176.413535340844,"25-Jun-2020","Rural",106,"2","3&1","Lowland"
"DM860383","ohaupara at pyes pa rd","ebop-00148",4006434,"bay of plenty","boprc","upland","forest","kaituna",-37.9604047698673,176.171115319963,"25-Jun-2020","Forest",431.5,"3","3&2","Upland"
"FO166207","ohineangaanga at 66 whitehead ave","ebop-00106",4002382,"bay of plenty","boprc","lowland","urban","kaituna",-37.792181842676,176.312224551011,"25-Jun-2020","Rural",24.7032000224,"3","4&1","Lowland"
"LL529952","ohope trib at above ohope beach school","ebop-00203",4007422,"bay of plenty","boprc","lowland","forest","maraetotara coastal",-37.9724203812413,177.044471661417,"25-Jun-2020","Forest",117,"1","1","Lowland"
"CO982925","ohourere at crawford rd","ebop-00195",4001618,"bay of plenty","boprc","lowland","rural","wairoa",-37.7342505634673,176.061895943929,"25-Jun-2020","Rural",79,"3","4","Lowland"
"FI646606","okaro wetland at above inlet a","ebop-00122",4018156,"bay of plenty","boprc","upland","rural","okaro",-38.2945475978815,176.389873772331,"25-Jun-2020","Rural",436,"2","2","Upland"
"FM217609","onaia trib. at blakely pacific","lawa-100487",4005683,"bay of plenty","boprc","upland","forest","kaituna",-37.9357875732324,176.324478153158,"25-Jun-2020","Forest",187,"2","4","Upland"
"KJ836663","opurana at tuhoe forest","lawa-100502",4014567,"bay of plenty","boprc","lowland","rural","whakatane",-38.1809031125789,176.976863005085,"25-Jun-2020","Forest",78.75,"2","6&2&1","Lowland"
"FD662607","otangimoana at kaingaroa","lawa-100490",4027146,"bay of plenty","boprc","upland","forest","rangitaiki",-38.7441966084785,176.412859605252,"25-Jun-2020","Rural",620,"4","4&1","Upland"
"OK303607","otara at old east rd","ebop-00213",4011726,"bay of plenty","boprc","lowland","forest","otara",-38.0820238786735,177.366534136898,"25-Jun-2020","Forest",43,"5","5&1","Lowland"
"OL858216","oteakona at mihaere rd","lawa-100492",4010135,"bay of plenty","boprc","lowland","forest","waiaua",-38.0248806868714,177.426312700939,"25-Jun-2020","Forest",53,"2","3","Lowland"
"OL810173","oteakona trib. at forestry rd","lawa-100493",4009810,"bay of plenty","boprc","lowland","rural","waiaua",-38.0289763041518,177.421117044503,"25-Jun-2020","Forest",55,"2","2","Lowland"
"EO010924","otumanga at waipunga park","ebop-00184",4001550,"bay of plenty","boprc","lowland","forest","welcome bay area",-37.7312538490663,176.178403388747,"25-Jun-2020","Urban",40,"2","2","Lowland"
"DP036592","oturu at borell rd","ebop-00186",4000905,"bay of plenty","boprc","lowland","rural","oturu",-37.6741044363331,176.065507694409,"25-Jun-2020","Rural",20,"3","3&1","Lowland"
"EO611496","owairoa at otawa","ebop-00199",4002262,"bay of plenty","boprc","lowland","forest","waitao area",-37.767912536761,176.248128178862,"25-Jun-2020","Forest",234.2253723145,"2","2&1","Upland"
"KK455031","owhakatoro at te manawa o tuhoe trust","lawa-100503",4013642,"bay of plenty","boprc","lowland","rural","whakatane",-38.1492430171045,176.93168166671,"25-Jun-2020","Forest",73.6666666666667,"4","4&1","Lowland"
"KJ764798","paekoau at tuhoe forest","lawa-100504",4014503,"bay of plenty","boprc","lowland","forest","whakatane",-38.1690537476177,176.967957514513,"25-Jun-2020","Forest",59,"3","3","Lowland"
