"LawaSiteID","Year","Measurement","Value","LFENZID","SiteID","Agency","Region","Long","Lat","LType","GeomorphicLType"
"ebop-00088",2005,"TLI",NA,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2006,"TLI",6.2412128646285,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2007,"TLI",NA,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2008,"TLI",5.64426745431715,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2009,"TLI",5.07918452675668,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2010,"TLI",5.50464069572002,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2011,"TLI",5.56782516553342,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2012,"TLI",5.90863100169359,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2013,"TLI",5.00332333074258,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2014,"TLI",4.48813882076742,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2015,"TLI",4.59552981686165,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2016,"TLI",4.95871246891635,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2017,"TLI",5.15191757220113,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2018,"TLI",5.18426623674682,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00088",2019,"TLI",4.29568051210694,14290,"lake okaro at site 1 (integrated)","boprc","bay of plenty",176.393775440022,-38.298866966033,"Stratified","Volcanic"
"ebop-00089",2005,"TLI",NA,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2006,"TLI",2.60716548250193,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2007,"TLI",NA,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2008,"TLI",NA,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2009,"TLI",2.76857319793249,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2010,"TLI",2.76215409812248,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2011,"TLI",2.88861755983951,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2012,"TLI",2.93932786892177,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2013,"TLI",2.64434471110815,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2014,"TLI",2.7271022857709,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2015,"TLI",2.85939198213139,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2016,"TLI",2.7827783688899,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2017,"TLI",2.87648775868414,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2018,"TLI",2.92713806966675,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
"ebop-00089",2019,"TLI",2.68142814421489,54731,"lake okataina at site 1 (integrated)","boprc","bay of plenty",176.423732816386,-38.1149218683115,"Stratified","Volcanic"
