"LawaSiteID","Measurement","median","MAD","count","minPerYear","nYear","nQuart","nMonth","censoredCount","CenType","Frequency","censoredPropn","censMedian","EcoliDetect","EcoliDetectAtAll","meas","Exclude","Source"
"GW-00166","E.coli",0.5,0,4,0,1,4,4,4,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00166","Electrical conductivity/salinity",224.54154,1.87913,4,0,1,4,4,0,"0","quarterly",0,"224.54154",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00166","Nitrate nitrogen",6.993127,0.0522206500000002,4,0,1,4,4,0,"0","quarterly",0,"6.993127",NA,NA,"NO3",FALSE,"Wellington"
"GW-00170","Ammoniacal nitrogen",0.122,0.00395700000000002,17,1,5,4,9,1,"0","quarterly",0.0588235294117647,"0.122",NA,NA,"NH4",FALSE,"Wellington"
"GW-00170","Chloride",39.8636,1.1364,17,1,5,4,9,0,"0","quarterly",0,"39.8636",NA,NA,"Cl",FALSE,"Wellington"
"GW-00170","Dissolved reactive phosphorus",0.064,0.032,17,1,5,4,9,0,"0","quarterly",0,"0.064",NA,NA,"DRP",FALSE,"Wellington"
"GW-00170","Electrical conductivity/salinity",287,11,17,1,5,4,9,0,"0","quarterly",0,"287",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00170","Nitrate nitrogen",0.0271677,0.0098323,17,1,5,4,9,0,"0","quarterly",0,"0.0271677",NA,NA,"NO3",FALSE,"Wellington"
"GW-00180","Ammoniacal nitrogen",0.9920836,0.02,20,4,5,4,4,1,"0","quarterly",0.05,"0.9920836",NA,NA,"NH4",FALSE,"Wellington"
"GW-00180","Chloride",99,3,20,4,5,4,4,0,"0","quarterly",0,"99",NA,NA,"Cl",FALSE,"Wellington"
"GW-00180","Dissolved reactive phosphorus",3.9024168,0.08541775,20,4,5,4,4,0,"0","quarterly",0,"3.9024168",NA,NA,"DRP",FALSE,"Wellington"
"GW-00180","Electrical conductivity/salinity",639.5,4.5,20,4,5,4,4,0,"0","quarterly",0,"639.5",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00180","Nitrate nitrogen",0.001,0,20,4,5,4,4,15,"<","quarterly",0.75,"<0.002",NA,NA,"NO3",FALSE,"Wellington"
"GW-00191","Ammoniacal nitrogen",0.3076624,0.01186425,20,3,5,4,8,0,"0","quarterly",0,"0.3076624",NA,NA,"NH4",FALSE,"Wellington"
"GW-00191","Chloride",14.583,0.25615,20,3,5,4,8,0,"0","quarterly",0,"14.583",NA,NA,"Cl",FALSE,"Wellington"
"GW-00191","Dissolved reactive phosphorus",0.165,0.0430543,20,3,5,4,8,0,"0","quarterly",0,"0.165",NA,NA,"DRP",FALSE,"Wellington"
"GW-00191","E.coli",0.5,0,7,0,3,4,4,7,"<","quarterly",1,"<1","2","2","ECOLI",FALSE,"Wellington"
"GW-00191","Electrical conductivity/salinity",140.92300415,1.107704,20,3,5,4,8,0,"0","quarterly",0,"140.92300415",NA,NA,"NaCl",FALSE,"Wellington"
"GW-00191","Nitrate nitrogen",0.00311545,0.00211545,20,3,5,4,8,8,"0","quarterly",0.4,"0.00311545",NA,NA,"NO3",FALSE,"Wellington"
