"CouncilSiteID","Date","Value","Method","Measurement","Censored","centype"
"lake dunstan at dead mans point","12-Feb-13",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-13",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-13",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-13",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","12-Feb-13",7.9,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Feb-19",0.0014,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Feb-19",0.004,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Feb-19",0.005,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Feb-19",0.047,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Feb-19",3,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Feb-19",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Jan-10",1,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Jan-15",0.007,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Jan-15",0.028,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Jan-15",0.055,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Jan-15",1.1,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Jan-15",1.6,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Jan-15",8.1,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Mar-19",0.0012,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Mar-19",0.004,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Mar-19",0.005,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Mar-19",0.048,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Mar-19",3,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Mar-19",7.6,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Oct-10",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","12-Oct-10",0.08,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","12-Oct-10",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","12-Oct-10",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","12-Oct-10",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Aug-14",0.004,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","13-Aug-14",0.008,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Aug-14",0.052,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Aug-14",0.6,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","13-Aug-14",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","13-Aug-14",8,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Dec-12",0.007,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Dec-12",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","13-Dec-12",0.11,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","13-Dec-12",1,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Dec-12",3,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","13-Dec-12",7.7,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Nov-18",9e-04,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Nov-18",0.005,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Nov-18",0.005,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Nov-18",0.099,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Nov-18",6,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Nov-18",7.6,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Oct-09",0.006,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Oct-09",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","13-Oct-09",0.07,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Oct-09",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","13-Oct-09",4,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","13-Oct-09",7.9,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Apr-04",0.005,"","TP",TRUE,"Left"
"lake dunstan at dead mans point","14-Apr-04",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","14-Apr-04",0.05,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","14-Apr-04",1,"","ECOLI",TRUE,"Left"
"lake dunstan at dead mans point","14-Apr-04",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","14-Apr-04",7.9,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-08",0.006,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-08",0.01,"","NH4N",TRUE,"Left"
"lake dunstan at dead mans point","14-Aug-08",0.08,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-08",2,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","14-Aug-08",2,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-18",5e-04,"","CHLA",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-18",0.004,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-18",0.005,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-18",0.067,"","TN",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-18",3,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Aug-18",7.6,"","pH",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Feb-07",0.007,"","TP",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Feb-07",0.01,"","NH4N",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Feb-07",0.05,"","TN",TRUE,"Left"
"lake dunstan at dead mans point","14-Feb-07",1.9,"","CHLA",TRUE,"Left"
"lake dunstan at dead mans point","14-Feb-07",2,"","ECOLI",FALSE,"FALSE"
"lake dunstan at dead mans point","14-Jul-14",0.004,"","TP",TRUE,"Left"
