"agency","xmlAge","var","nMeas","nMeas5","nSite","earliest","latest","minMeas","meanMeas","maxMeas","nNA"
"nrc",0,"DRP",4773,1443,32,"12-Jan-2005","19-Dec-2019",0,0,0.5,0
"nrc",0,"ECOLI",4820,1444,32,"12-Jan-2005","19-Dec-2019",8.6,1369.7,141360,0
"nrc",0,"NH4",4818,1444,32,"12-Jan-2005","19-Dec-2019",0,0,1.6,0
"nrc",0,"PH",4816,1444,32,"12-Jan-2005","19-Dec-2019",5.3,7.3,9.1,0
"nrc",0,"TN",3054,1443,32,"12-Dec-2007","19-Dec-2019",0.1,0.6,7,0
"nrc",0,"TON",4822,1443,32,"12-Jan-2005","19-Dec-2019",0,0.3,3.7,0
"nrc",0,"TP",4813,1444,32,"12-Jan-2005","19-Dec-2019",0,0.1,1.1,0
"nrc",0,"TURB",4817,1443,32,"12-Jan-2005","19-Dec-2019",0,11.3,390,0
"orc",0,"BDISC",39,0,28,"18-Jan-2005","15-Mar-2005",0.2,1.7,4.8,0
"orc",0,"DRP",6327,2253,49,"13-Jan-2005","23-Dec-2019",0,0,1.2,0
"orc",0,"ECOLI",7015,2282,49,"13-Jan-2005","23-Dec-2019",0,489.7,250000,0
"orc",0,"NH4",6392,2269,49,"13-Jan-2005","23-Dec-2019",0,0,2.9,0
"orc",0,"PH",5553,2254,49,"13-Jan-2005","20-Dec-2019",6.1,7.6,9.9,0
"orc",0,"TN",6356,2248,49,"13-Jan-2005","20-Dec-2019",0,0.6,8.2,0
"orc",0,"TON",6468,2313,49,"13-Jan-2005","23-Dec-2019",0,0.3,7.1,0
"orc",0,"TP",6325,2258,49,"13-Jan-2005","20-Dec-2019",0,0,4.2,0
"tdc",0,"BDISC",1949,1083,26,"08-Feb-2005","17-Dec-2019",0,4.8,18.2,0
"tdc",0,"DRP",1602,1133,26,"09-Feb-2005","17-Dec-2019",0,0,0.2,0
"tdc",0,"ECOLI",2187,1141,26,"08-Feb-2005","17-Dec-2019",0,407.2,22000,0
"tdc",0,"NH4",1869,1133,26,"08-Feb-2005","17-Dec-2019",0,0,0.4,0
"tdc",0,"PH",1124,1081,26,"14-Feb-2005","17-Dec-2019",6.3,7.6,8.7,0
"tdc",0,"TN",1593,1128,26,"09-Feb-2005","17-Dec-2019",0,1,12.6,0
"tdc",0,"TON",1264,998,26,"06-Nov-2007","24-Jul-2019",0,0.8,10.4,0
"tdc",0,"TP",1594,1128,26,"09-Feb-2005","17-Dec-2019",0,0,0.6,0
"tdc",0,"TURB",1826,1103,26,"09-Feb-2005","17-Dec-2019",0.1,3.6,480,0
"trc",0,"BDISC",2009,551,13,"12-Jan-2005","11-Jul-2019",0,2,10.1,0
"trc",0,"DRP",2017,553,13,"12-Jan-2005","11-Jul-2019",0,0,0.2,0
"trc",0,"ECOLI",2017,553,13,"12-Jan-2005","11-Jul-2019",1,1052.8,62000,0
"trc",0,"NH4",2017,553,13,"12-Jan-2005","11-Jul-2019",0,0,1.7,0
"trc",0,"PH",2017,553,13,"12-Jan-2005","11-Jul-2019",6.7,7.7,8.7,0
"trc",0,"TN",2017,553,13,"12-Jan-2005","11-Jul-2019",0,0.8,19.4,0
"trc",0,"TON",2017,553,13,"12-Jan-2005","11-Jul-2019",0,0.6,4.4,0
"trc",0,"TP",2017,553,13,"12-Jan-2005","11-Jul-2019",0,0.1,3.4,0
"trc",0,"TURB",1618,166,13,"12-Jan-2005","11-Jul-2019",0.3,5.3,1030,0
"trc",0,"TURBFNU",1795,387,13,"08-Jun-2005","14-Jun-2018",0.2,12.6,1400,0
"wcrc",0,"BDISC",1364,553,18,"06-Jan-2005","18-Dec-2019",0.1,4.2,21.5,0
"wcrc",0,"DRP",1285,651,18,"10-Jan-2005","18-Dec-2019",0,0,0.7,0
"wcrc",0,"ECOLI",1508,652,18,"06-Jan-2005","18-Dec-2019",1,544.4,190000,0
"wcrc",0,"NH4",1506,668,19,"06-Jan-2005","18-Dec-2019",0,0,1.6,0
