"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-101446","Bore 1001283 at Collins Lane","Electrical conductivity/salinity","2015-11-16","2019-08-14","15","191","217"
"LAWA-101446","Bore 1001283 at Collins Lane","Nitrate nitrogen","2015-11-16","2019-12-02","17","-0.003","0.002"
"LAWA-101446","Bore 1001283 at Collins Lane","Nitrogen - Other","2016-08-31","2019-12-02","28","0","0.005"
"LAWA-101442","Bore 1001284 at Collins Lane","Ammoniacal nitrogen","2015-11-17","2019-12-01","17","0.223","0.339"
"LAWA-101442","Bore 1001284 at Collins Lane","Chloride","2015-11-17","2019-12-01","17","9.2","20"
"LAWA-101442","Bore 1001284 at Collins Lane","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101442","Bore 1001284 at Collins Lane","E.coli","2015-11-17","2019-12-01","17","1","1"
"LAWA-101442","Bore 1001284 at Collins Lane","Electrical conductivity/salinity","2015-11-17","2019-08-13","15","181","209"
"LAWA-101442","Bore 1001284 at Collins Lane","Nitrate nitrogen","2015-11-17","2019-12-01","17","-0.009","0.027"
"LAWA-101442","Bore 1001284 at Collins Lane","Nitrogen - Other","2016-08-31","2019-12-01","28","-0.001","0.037"
"LAWA-101445","Bore 1001285 at Collins Lane","Ammoniacal nitrogen","2015-11-17","2019-12-02","17","0.093","0.14"
"LAWA-101445","Bore 1001285 at Collins Lane","Chloride","2015-11-17","2019-12-02","17","8.3","9.3"
"LAWA-101445","Bore 1001285 at Collins Lane","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101445","Bore 1001285 at Collins Lane","E.coli","2015-11-17","2019-12-02","17","1","1"
"LAWA-101445","Bore 1001285 at Collins Lane","Electrical conductivity/salinity","2015-11-17","2019-08-14","15","194","216"
"LAWA-101445","Bore 1001285 at Collins Lane","Nitrate nitrogen","2015-11-17","2019-12-02","17","-0.003","0.002"
"LAWA-101445","Bore 1001285 at Collins Lane","Nitrogen - Other","2016-08-31","2019-12-02","28","-0.001","0.004"
"LAWA-101444","Bore 1001286 at Collins Lane","Ammoniacal nitrogen","2015-11-17","2019-12-02","17","0.146","0.246"
"LAWA-101444","Bore 1001286 at Collins Lane","Chloride","2015-11-17","2019-12-02","17","8.3","9.2"
"LAWA-101444","Bore 1001286 at Collins Lane","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101444","Bore 1001286 at Collins Lane","E.coli","2015-11-17","2019-12-02","17","1","1"
"LAWA-101444","Bore 1001286 at Collins Lane","Electrical conductivity/salinity","2015-11-17","2019-08-14","15","176","195"
"LAWA-101444","Bore 1001286 at Collins Lane","Nitrate nitrogen","2015-11-17","2019-12-02","17","-0.005","0.002"
"LAWA-101444","Bore 1001286 at Collins Lane","Nitrogen - Other","2016-08-31","2019-12-02","28","0","0.005"
"LAWA-101443","Bore 1001287 at Collins Lane","Ammoniacal nitrogen","2015-11-17","2019-12-01","17","0.009","0.02"
"LAWA-101443","Bore 1001287 at Collins Lane","Chloride","2015-11-17","2019-12-01","17","8.6","15.1"
"LAWA-101443","Bore 1001287 at Collins Lane","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101443","Bore 1001287 at Collins Lane","E.coli","2015-11-17","2019-12-01","16","1","1"
"LAWA-101443","Bore 1001287 at Collins Lane","Electrical conductivity/salinity","2015-11-17","2019-08-13","15","169","186"
"LAWA-101443","Bore 1001287 at Collins Lane","Nitrate nitrogen","2015-11-17","2019-12-01","17","-0.003","0.005"
"LAWA-101443","Bore 1001287 at Collins Lane","Nitrogen - Other","2016-08-31","2019-12-01","28","-0.001","0.005"
"LAWA-101483","Bore 1001289 at Kelly Rd","Ammoniacal nitrogen","2015-11-12","2019-08-01","15","0.268","0.378"
"LAWA-101483","Bore 1001289 at Kelly Rd","Chloride","2015-11-12","2019-11-06","16","16.6","25"
"LAWA-101483","Bore 1001289 at Kelly Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101483","Bore 1001289 at Kelly Rd","E.coli","2015-11-12","2019-11-06","16","1","1"
"LAWA-101483","Bore 1001289 at Kelly Rd","Electrical conductivity/salinity","2015-11-12","2019-11-06","16","292","392"
"LAWA-101483","Bore 1001289 at Kelly Rd","Nitrate nitrogen","2015-11-12","2019-08-01","15","-0.005","0.006"
"LAWA-101483","Bore 1001289 at Kelly Rd","Nitrogen - Other","2016-08-30","2019-08-01","24","0.001","0.011"
"LAWA-101484","Bore 1001290 at Kelly Rd","Ammoniacal nitrogen","2015-11-13","2019-08-01","15","0","0.026"
"LAWA-101484","Bore 1001290 at Kelly Rd","Chloride","2015-11-13","2019-11-06","16","19.3","26"
"LAWA-101484","Bore 1001290 at Kelly Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101484","Bore 1001290 at Kelly Rd","E.coli","2015-11-13","2019-11-06","16","1","1"
"LAWA-101484","Bore 1001290 at Kelly Rd","Electrical conductivity/salinity","2015-11-13","2019-11-06","16","183","212"
"LAWA-101484","Bore 1001290 at Kelly Rd","Nitrate nitrogen","2015-11-13","2019-08-01","15","2.585","3.516"
"LAWA-101484","Bore 1001290 at Kelly Rd","Nitrogen - Other","2016-08-30","2019-08-01","24","-0.001","3.52"
"LAWA-101441","Bore 1001293 at Rangiuru Rd","Ammoniacal nitrogen","2018-02-14","2019-11-26","7","0","0.004"
"LAWA-101441","Bore 1001293 at Rangiuru Rd","Chloride","2018-02-14","2019-11-26","7","4.8","5.8"
"LAWA-101441","Bore 1001293 at Rangiuru Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101441","Bore 1001293 at Rangiuru Rd","E.coli","2018-02-14","2019-11-26","7","1","1"
"LAWA-101441","Bore 1001293 at Rangiuru Rd","Electrical conductivity/salinity","2018-02-14","2019-08-28","6","69.4","98.1"
"LAWA-101441","Bore 1001293 at Rangiuru Rd","Nitrate nitrogen","2018-02-14","2019-11-26","7","0.064","0.073"
"LAWA-101441","Bore 1001293 at Rangiuru Rd","Nitrogen - Other","2018-02-14","2019-11-26","14","0","0.074"
"LAWA-101340","Bore 100130 at Capamagian Dr","Ammoniacal nitrogen","2016-06-27","2019-11-04","12","0","0.015"
"LAWA-101340","Bore 100130 at Capamagian Dr","Chloride","2016-06-27","2019-11-04","12","14.2","24"
"LAWA-101340","Bore 100130 at Capamagian Dr","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101340","Bore 100130 at Capamagian Dr","E.coli","2016-06-27","2019-11-04","12","1","1"
"LAWA-101340","Bore 100130 at Capamagian Dr","Electrical conductivity/salinity","2016-06-27","2019-11-04","11","101","212"
"LAWA-101340","Bore 100130 at Capamagian Dr","Nitrate nitrogen","2016-06-27","2019-11-04","12","-0.007","0.344"
"LAWA-101340","Bore 100130 at Capamagian Dr","Nitrogen - Other","2016-06-27","2019-11-04","24","0.001","0.348"
"LAWA-101498","Bore 1018 at Maketu Rd (Warm supply)","Ammoniacal nitrogen","2017-08-23","2019-11-05","10","0.081","0.21"
"LAWA-101498","Bore 1018 at Maketu Rd (Warm supply)","Chloride","2017-08-23","2019-11-05","10","39","43"
"LAWA-101498","Bore 1018 at Maketu Rd (Warm supply)","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101498","Bore 1018 at Maketu Rd (Warm supply)","E.coli","2017-08-23","2019-11-05","10","1","2"
"LAWA-101498","Bore 1018 at Maketu Rd (Warm supply)","Electrical conductivity/salinity","2017-08-23","2019-11-05","10","207","641"
"LAWA-101498","Bore 1018 at Maketu Rd (Warm supply)","Nitrate nitrogen","2017-08-23","2019-11-05","10","-0.002","0.007"
"LAWA-101498","Bore 1018 at Maketu Rd (Warm supply)","Nitrogen - Other","2017-08-23","2019-11-05","20","0.001","0.008"
"LAWA-101364","Bore 10965 at Oturoa Rd","Ammoniacal nitrogen","2016-08-10","2019-11-11","12","-0.003","0.01"
"LAWA-101364","Bore 10965 at Oturoa Rd","Chloride","2016-08-10","2019-11-11","12","4.4","6.9"
"LAWA-101364","Bore 10965 at Oturoa Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101364","Bore 10965 at Oturoa Rd","E.coli","2016-08-10","2019-11-11","12","1","1"
"LAWA-101364","Bore 10965 at Oturoa Rd","Electrical conductivity/salinity","2016-08-10","2019-08-15","10","85.6","101"
"LAWA-101364","Bore 10965 at Oturoa Rd","Nitrate nitrogen","2016-08-10","2019-11-11","12","0.767","2.126"
"LAWA-101364","Bore 10965 at Oturoa Rd","Nitrogen - Other","2016-08-10","2019-11-11","24","-0.001","2.128"
"LAWA-101415","Bore 10968 at Gee Rd","Ammoniacal nitrogen","2017-09-05","2019-11-10","10","-0.001","0.01"
"LAWA-101415","Bore 10968 at Gee Rd","Chloride","2017-09-05","2019-11-10","10","5.1","5.7"
"LAWA-101415","Bore 10968 at Gee Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101415","Bore 10968 at Gee Rd","E.coli","2017-09-05","2019-11-10","10","1","7.5"
"LAWA-101415","Bore 10968 at Gee Rd","Electrical conductivity/salinity","2017-09-05","2019-08-14","9","98.5","115"
"LAWA-101415","Bore 10968 at Gee Rd","Nitrate nitrogen","2017-09-05","2019-11-10","10","0.871","1.074"
"LAWA-101415","Bore 10968 at Gee Rd","Nitrogen - Other","2017-09-05","2019-11-10","20","0.001","1.075"
"LAWA-101391","Bore 1561 at Hamurana Rd","Ammoniacal nitrogen","2015-05-10","2019-11-11","16","-0.002","0.006"
"LAWA-101391","Bore 1561 at Hamurana Rd","Chloride","2015-02-22","2019-11-11","17","4.1","6"
"LAWA-101391","Bore 1561 at Hamurana Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101391","Bore 1561 at Hamurana Rd","E.coli","2015-11-08","2019-11-11","15","1","200.5"
"LAWA-101391","Bore 1561 at Hamurana Rd","Electrical conductivity/salinity","2015-02-22","2019-08-15","16","86","107"
"LAWA-101391","Bore 1561 at Hamurana Rd","Nitrate nitrogen","2015-05-10","2019-11-11","16","0.469","1.744"
"LAWA-101391","Bore 1561 at Hamurana Rd","Nitrogen - Other","2016-08-09","2019-11-11","28","0","1.745"
"LAWA-101403","Bore 1670 at Kairua Rd","Ammoniacal nitrogen","2016-11-27","2019-11-20","12","-0.001","0.005"
"LAWA-101403","Bore 1670 at Kairua Rd","Chloride","2016-11-27","2019-11-20","12","17.8","21"
"LAWA-101403","Bore 1670 at Kairua Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101403","Bore 1670 at Kairua Rd","E.coli","2016-11-27","2019-11-20","12","1","1"
"LAWA-101403","Bore 1670 at Kairua Rd","Electrical conductivity/salinity","2016-11-27","2019-11-20","12","186","219"
"LAWA-101403","Bore 1670 at Kairua Rd","Nitrate nitrogen","2016-11-27","2019-11-20","12","0.164","0.193"
"LAWA-101403","Bore 1670 at Kairua Rd","Nitrogen - Other","2016-11-27","2019-11-20","24","-0.001","0.194"
"LAWA-101540","Bore 170047 at Horomanga Rd","Ammoniacal nitrogen","2017-05-09","2019-11-27","12","0.006","0.518"
"LAWA-101540","Bore 170047 at Horomanga Rd","Chloride","2017-05-09","2019-11-27","12","8.7","129"
"LAWA-101540","Bore 170047 at Horomanga Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101540","Bore 170047 at Horomanga Rd","E.coli","2017-05-09","2019-11-27","10","1","1"
"LAWA-101540","Bore 170047 at Horomanga Rd","Electrical conductivity/salinity","2017-05-09","2019-11-27","12","196","1660"
"LAWA-101540","Bore 170047 at Horomanga Rd","Nitrate nitrogen","2017-05-09","2019-11-27","11","-0.005","5.773"
"LAWA-101540","Bore 170047 at Horomanga Rd","Nitrogen - Other","2017-05-09","2019-11-27","23","0.001","5.775"
"LAWA-101541","Bore 170048 at Horomanga Rd","Ammoniacal nitrogen","2017-12-08","2019-11-27","8","0.255","0.339"
"LAWA-101541","Bore 170048 at Horomanga Rd","Chloride","2017-12-08","2019-11-27","8","124","148"
"LAWA-101541","Bore 170048 at Horomanga Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101541","Bore 170048 at Horomanga Rd","E.coli","2017-12-08","2019-11-27","8","1","1"
"LAWA-101541","Bore 170048 at Horomanga Rd","Electrical conductivity/salinity","2017-12-08","2019-11-27","8","1480","1760"
"LAWA-101541","Bore 170048 at Horomanga Rd","Nitrate nitrogen","2017-12-08","2019-11-27","8","-0.004","0.002"
"LAWA-101541","Bore 170048 at Horomanga Rd","Nitrogen - Other","2017-12-08","2019-11-27","16","0.001","0.007"
"LAWA-101542","Bore 170049 at Horomanga Rd","Ammoniacal nitrogen","2017-12-08","2019-11-28","8","3.004","3.601"
"LAWA-101542","Bore 170049 at Horomanga Rd","Chloride","2017-12-08","2019-11-28","8","21","27"
"LAWA-101542","Bore 170049 at Horomanga Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101542","Bore 170049 at Horomanga Rd","E.coli","2017-12-08","2019-11-28","8","1","2"
"LAWA-101542","Bore 170049 at Horomanga Rd","Electrical conductivity/salinity","2017-12-08","2019-11-28","8","635","781"
"LAWA-101542","Bore 170049 at Horomanga Rd","Nitrate nitrogen","2017-12-08","2019-11-28","8","-0.007","0.002"
"LAWA-101542","Bore 170049 at Horomanga Rd","Nitrogen - Other","2017-12-08","2019-11-28","16","0","0.009"
"LAWA-101318","Bore 2303 at Sharp Rd","Ammoniacal nitrogen","2015-02-11","2018-11-29","15","0.365","0.448"
"LAWA-101318","Bore 2303 at Sharp Rd","Chloride","2015-02-11","2019-02-27","17","11.3","16.3"
"LAWA-101318","Bore 2303 at Sharp Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101318","Bore 2303 at Sharp Rd","E.coli","2015-08-05","2019-02-27","15","1","1"
"LAWA-101318","Bore 2303 at Sharp Rd","Electrical conductivity/salinity","2015-02-11","2019-11-05","20","38.9","405"
"LAWA-101318","Bore 2303 at Sharp Rd","Nitrate nitrogen","2015-02-11","2018-11-29","15","-0.007","0.01"
"LAWA-101318","Bore 2303 at Sharp Rd","Nitrogen - Other","2016-05-31","2018-11-29","22","0.001","0.011"
"LAWA-101338","Bore 2330 at Kauri Point","Ammoniacal nitrogen","2015-02-11","2019-11-07","20","-0.001","0.015"
"LAWA-101338","Bore 2330 at Kauri Point","Chloride","2015-02-11","2019-11-07","19","22","27"
"LAWA-101338","Bore 2330 at Kauri Point","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101338","Bore 2330 at Kauri Point","E.coli","2015-11-02","2019-11-07","17","1","16.4"
"LAWA-101338","Bore 2330 at Kauri Point","Electrical conductivity/salinity","2015-02-11","2019-11-07","18","92.1","179"
"LAWA-101338","Bore 2330 at Kauri Point","Nitrate nitrogen","2015-02-11","2019-11-07","20","0.073","0.139"
"LAWA-101338","Bore 2330 at Kauri Point","Nitrogen - Other","2016-08-02","2019-11-07","28","0","0.11"
"EBOP-00066","Bore 2504 at Beach Rd","Ammoniacal nitrogen","2017-06-19","2019-11-06","11","-0.003","0.006"
"EBOP-00066","Bore 2504 at Beach Rd","Chloride","2017-06-19","2019-11-06","11","172","181"
"EBOP-00066","Bore 2504 at Beach Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"EBOP-00066","Bore 2504 at Beach Rd","E.coli","2017-06-19","2019-11-06","11","1","1"
"EBOP-00066","Bore 2504 at Beach Rd","Electrical conductivity/salinity","2017-06-19","2019-11-06","11","760","821"
"EBOP-00066","Bore 2504 at Beach Rd","Nitrate nitrogen","2017-06-19","2019-11-06","11","0.014","0.017"
"EBOP-00066","Bore 2504 at Beach Rd","Nitrogen - Other","2017-06-19","2019-11-06","22","-0.001","0.018"
"LAWA-101545","Bore 2509 at Hallett Rd (CB2509)","Ammoniacal nitrogen","2015-02-16","2019-12-01","20","-0.004","0.104"
"LAWA-101545","Bore 2509 at Hallett Rd (CB2509)","Chloride","2015-02-16","2019-12-01","20","5.7","9.7"
"LAWA-101545","Bore 2509 at Hallett Rd (CB2509)","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101545","Bore 2509 at Hallett Rd (CB2509)","E.coli","2015-08-11","2019-12-01","17","1","1"
"LAWA-101545","Bore 2509 at Hallett Rd (CB2509)","Electrical conductivity/salinity","2015-02-16","2019-09-02","19","84","90.4"
"LAWA-101545","Bore 2509 at Hallett Rd (CB2509)","Nitrate nitrogen","2015-02-16","2019-12-01","20","0.181","0.205"
"LAWA-101545","Bore 2509 at Hallett Rd (CB2509)","Nitrogen - Other","2016-06-02","2019-12-01","15","0.182","0.206"
"LAWA-101480","Bore 2822 at Pongakawa School Rd","Ammoniacal nitrogen","2015-02-19","2019-11-04","16","0.017","0.03"
"LAWA-101480","Bore 2822 at Pongakawa School Rd","Chloride","2015-02-19","2019-11-04","16","19.5","23"
"LAWA-101480","Bore 2822 at Pongakawa School Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101480","Bore 2822 at Pongakawa School Rd","E.coli","2016-08-03","2019-11-04","14","1","1"
"LAWA-101480","Bore 2822 at Pongakawa School Rd","Electrical conductivity/salinity","2015-02-19","2019-11-04","15","344","384"
"LAWA-101480","Bore 2822 at Pongakawa School Rd","Nitrate nitrogen","2015-02-19","2019-11-04","16","-0.002","0.016"
"LAWA-101480","Bore 2822 at Pongakawa School Rd","Nitrogen - Other","2016-08-03","2019-11-04","28","-0.001","0.011"
"LAWA-101557","Bore 3036 at Otara Rd","Ammoniacal nitrogen","2015-02-15","2019-11-24","19","0.155","0.25"
"LAWA-101557","Bore 3036 at Otara Rd","Chloride","2015-02-15","2019-11-24","19","9.9","11.9"
"LAWA-101557","Bore 3036 at Otara Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101557","Bore 3036 at Otara Rd","E.coli","2015-11-01","2019-11-24","16","1","2"
"LAWA-101557","Bore 3036 at Otara Rd","Electrical conductivity/salinity","2015-02-15","2019-11-24","19","157","259"
"LAWA-101557","Bore 3036 at Otara Rd","Nitrate nitrogen","2015-02-15","2019-11-24","19","-0.004","0.012"
"LAWA-101557","Bore 3036 at Otara Rd","Nitrogen - Other","2016-06-07","2019-11-24","30","-0.001","0.014"
"LAWA-101373","Bore 3044 at Cambridge Rd","Ammoniacal nitrogen","2015-02-16","2019-12-01","19","0.039","0.51"
"LAWA-101373","Bore 3044 at Cambridge Rd","Chloride","2015-02-16","2019-12-01","19","5.1","1130"
"LAWA-101373","Bore 3044 at Cambridge Rd","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
"LAWA-101373","Bore 3044 at Cambridge Rd","E.coli","2015-08-10","2019-12-01","16","1","1"
"LAWA-101373","Bore 3044 at Cambridge Rd","Electrical conductivity/salinity","2015-02-16","2019-09-01","18","3.61","3860"
"LAWA-101373","Bore 3044 at Cambridge Rd","Nitrate nitrogen","2015-02-16","2019-12-01","19","-0.002","0.004"
"LAWA-101373","Bore 3044 at Cambridge Rd","Nitrogen - Other","2016-06-01","2019-12-01","14","0","0.007"
"LAWA-101554","Bore 3301 at Ohope Golf Club","Ammoniacal nitrogen","2015-05-04","2015-05-04","1","0.004","0.004"
"LAWA-101554","Bore 3301 at Ohope Golf Club","Chloride","2015-05-04","2015-05-04","1","28","28"
"LAWA-101554","Bore 3301 at Ohope Golf Club","Dissolved reactive phosphorus",NA,NA,"0","Inf","-Inf"
