"Site","Bore","Var","StartDate","EndDate","nMeas","MinVal","MaxVal"
"LAWA-102571","M36/0698","Ammoniacal nitrogen","2015-09-22","2019-12-03","5","0.005","0.005"
"LAWA-102571","M36/0698","Chloride","2015-09-22","2019-12-03","5","4.9","7.4"
"LAWA-102571","M36/0698","Dissolved reactive phosphorus","2015-09-22","2019-12-03","5","5e-04","0.0053"
"LAWA-102571","M36/0698","E.coli","2015-09-22","2019-12-03","5","0.5","0.5"
"LAWA-102571","M36/0698","Electrical conductivity/salinity","2015-09-22","2019-12-03","5","186","216"
"LAWA-102571","M36/0698","Nitrate nitrogen","2015-09-22","2019-12-03","5","3.5","4.7"
"LAWA-102571","M36/0698","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102572","M36/0712","Ammoniacal nitrogen","2015-09-22","2019-12-02","5","0.005","0.03"
"LAWA-102572","M36/0712","Chloride","2015-09-22","2019-12-02","5","4.2","5"
"LAWA-102572","M36/0712","Dissolved reactive phosphorus","2015-09-22","2019-12-02","5","0.0153","0.0178"
"LAWA-102572","M36/0712","E.coli","2015-09-22","2019-12-02","5","0.5","0.5"
"LAWA-102572","M36/0712","Electrical conductivity/salinity","2015-09-22","2019-12-02","5","110","113"
"LAWA-102572","M36/0712","Nitrate nitrogen","2015-09-22","2019-12-02","5","0.77","0.87"
"LAWA-102572","M36/0712","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102182","M36/1059","Ammoniacal nitrogen","2017-06-21","2019-10-31","3","0.005","0.022"
"LAWA-102182","M36/1059","Chloride","2017-06-21","2019-10-31","9","12.1","14.3"
"LAWA-102182","M36/1059","Dissolved reactive phosphorus","2017-06-21","2019-10-31","3","0.0011","0.0042"
"LAWA-102182","M36/1059","E.coli","2017-06-21","2019-10-31","8","0.5","0.5"
"LAWA-102182","M36/1059","Electrical conductivity/salinity","2017-06-21","2019-10-31","9","253","301"
"LAWA-102182","M36/1059","Nitrate nitrogen","2017-06-21","2019-10-31","9","5.2","6.5"
"LAWA-102182","M36/1059","Nitrogen - Other","2017-06-21","2019-01-22","4","0.007","0.05"
"LAWA-102573","M36/1225","Ammoniacal nitrogen","2015-11-20","2018-10-24","6","0.005","0.005"
"LAWA-102573","M36/1225","Chloride","2015-11-20","2018-10-24","6","12.6","13.8"
"LAWA-102573","M36/1225","Dissolved reactive phosphorus","2015-11-20","2018-10-24","6","0.0023","0.0157"
"LAWA-102573","M36/1225","E.coli","2015-11-20","2018-10-24","4","0.5","0.5"
"LAWA-102573","M36/1225","Electrical conductivity/salinity","2015-11-20","2018-10-24","6","294","312"
"LAWA-102573","M36/1225","Nitrate nitrogen","2015-11-20","2018-10-24","6","3.4","4.3"
"LAWA-102573","M36/1225","Nitrogen - Other","2017-04-20","2017-09-19","2","0.001","0.004"
"LAWA-102574","M36/1448","Ammoniacal nitrogen","2015-10-14","2019-11-04","5","0.005","0.005"
"LAWA-102574","M36/1448","Chloride","2015-10-14","2019-11-04","5","7.2","8.2"
"LAWA-102574","M36/1448","Dissolved reactive phosphorus","2015-10-14","2019-11-04","5","0.038","0.048"
"LAWA-102574","M36/1448","E.coli","2015-10-14","2019-11-04","5","0.5","0.5"
"LAWA-102574","M36/1448","Electrical conductivity/salinity","2015-10-14","2019-11-04","5","174","176"
"LAWA-102574","M36/1448","Nitrate nitrogen","2015-10-14","2019-11-04","5","0.025","0.07"
"LAWA-102574","M36/1448","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102575","M36/1504","Ammoniacal nitrogen","2015-10-14","2019-11-04","5","0.177","2.7"
"LAWA-102575","M36/1504","Chloride","2015-10-14","2019-11-04","5","9.1","22"
"LAWA-102575","M36/1504","Dissolved reactive phosphorus","2015-10-14","2019-11-04","5","0.0027","0.124"
"LAWA-102575","M36/1504","E.coli","2015-10-14","2019-11-04","5","0.5","0.5"
"LAWA-102575","M36/1504","Electrical conductivity/salinity","2015-10-14","2019-11-04","5","201","275"
"LAWA-102575","M36/1504","Nitrate nitrogen","2015-10-14","2019-11-04","5","0.025","0.07"
"LAWA-102575","M36/1504","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102576","M36/20713","Ammoniacal nitrogen","2015-10-15","2019-11-21","6","0.005","0.017"
"LAWA-102576","M36/20713","Chloride","2015-10-15","2019-11-21","6","27","33"
"LAWA-102576","M36/20713","Dissolved reactive phosphorus","2015-10-15","2019-11-21","6","0.0032","0.0047"
"LAWA-102576","M36/20713","E.coli","2015-10-15","2019-11-21","6","0.5","0.5"
"LAWA-102576","M36/20713","Electrical conductivity/salinity","2015-10-15","2019-11-21","6","290","333"
"LAWA-102576","M36/20713","Nitrate nitrogen","2015-10-15","2019-11-21","6","4.4","5.1"
"LAWA-102576","M36/20713","Nitrogen - Other",NA,NA,"0","Inf","-Inf"
"LAWA-102577","M36/2284","Ammoniacal nitrogen","2015-11-24","2019-12-03","5","0.005","0.01"
"LAWA-102577","M36/2284","Chloride","2015-11-24","2019-12-03","5","8.6","9.4"
