"LawaSiteID","CouncilSiteID","Date","Measurement","Value","Agency"
"EBOP-00045","NAT-GS04","04-Apr-1991","MCI",105.714285714286,"niwa"
"NRWQN-00012","NAT-GS03","17-Apr-1991","MCI",125.666666666667,"niwa"
"NRWQN-00011","NAT-GS02","18-Apr-1991","MCI",126.071428571429,"niwa"
"NRWQN-00014","NAT-HV03","03-Feb-1992","MCI",94.6666666666667,"niwa"
"NRWQN-00016","NAT-HV06","03-Feb-1992","MCI",125,"niwa"
"NRWQN-00006","NAT-TK01","03-Feb-1992","MCI",114.285714285714,"niwa"
"NRWQN-00007","NAT-TK02","03-Feb-1992","MCI",112.222222222222,"niwa"
"NRWQN-00005","NAT-TK04","03-Feb-1992","MCI",80,"niwa"
"ES-00010","NAT-DN08","04-Feb-1992","MCI",92.3076923076923,"niwa"
"ES-00001","NAT-DN09","04-Feb-1992","MCI",83.3333333333333,"niwa"
"NRWQN-00013","NAT-HV01","04-Feb-1992","MCI",106.25,"niwa"
"HBRC-00043","NAT-HV02","04-Feb-1992","MCI",82.2222222222222,"niwa"
"ES-00021","NAT-DN05","05-Feb-1992","MCI",80.625,"niwa"
"ES-00024","NAT-DN06","05-Feb-1992","MCI",107,"niwa"
"ES-00011","NAT-DN07","05-Feb-1992","MCI",112.5,"niwa"
"NRWQN-00029","NAT-DN01","06-Feb-1992","MCI",90,"niwa"
"NRWQN-00028","NAT-DN02","06-Feb-1992","MCI",119.130434782609,"niwa"
"NRWQN-00026","NAT-DN03","06-Feb-1992","MCI",113.684210526316,"niwa"
"NRWQN-00015","NAT-HV04","11-Feb-1992","MCI",136,"niwa"
"EBOP-00053","NAT-RO04","11-Feb-1992","MCI",110.869565217391,"niwa"
"NRWQN-00040","NAT-HM01","12-Feb-1992","MCI",115.416666666667,"niwa"
"EBOP-00223","NAT-RO01","12-Feb-1992","MCI",111.428571428571,"niwa"
"EBOP-00049","NAT-RO05","12-Feb-1992","MCI",105.555555555556,"niwa"
"HRC-00062","NAT-TU01","12-Feb-1992","MCI",98.3333333333333,"niwa"
"NRWQN-00038","NAT-TU02","12-Feb-1992","MCI",100.769230769231,"niwa"
"NRWQN-00045","NAT-HM06","13-Feb-1992","MCI",77.2222222222222,"niwa"
"NRWQN-00017","NAT-HV05","14-Feb-1992","MCI",115.714285714286,"niwa"
"EBOP-00048","NAT-RO03","14-Feb-1992","MCI",104.230769230769,"niwa"
"NRWQN-00034","NAT-DN10","20-Feb-1992","MCI",71.4285714285714,"niwa"
"NRWQN-00007","NAT-TK02","22-Feb-1992","MCI",121.363636363636,"niwa"
"NRWQN-00057","NAT-NN01","03-Mar-1992","MCI",116.5,"niwa"
"NRWQN-00056","NAT-NN02","03-Mar-1992","MCI",137.619047619048,"niwa"
"NRWQN-00050","NAT-GY04","09-Mar-1992","MCI",113.636363636364,"niwa"
"NRWQN-00037","NAT-NN05","10-Mar-1992","MCI",128.75,"niwa"
"NRWQN-00058","NAT-NN03","11-Mar-1992","MCI",116.315789473684,"niwa"
"MDC-00025","NAT-NN04","11-Mar-1992","MCI",100.714285714286,"niwa"
"NRWQN-00051","NAT-GY02","13-Mar-1992","MCI",120.5,"niwa"
"NRC-10008","NAT-WH01","18-Mar-1992","MCI",114.615384615385,"niwa"
"NRWQN-00023","NAT-WH02","18-Mar-1992","MCI",65.7142857142857,"niwa"
"NRWQN-00030","NAT-AX02","19-Mar-1992","MCI",113.529411764706,"niwa"
"NRWQN-00027","NAT-AX04","20-Mar-1992","MCI",89.375,"niwa"
"NRWQN-00011","NAT-GS02","23-Mar-1992","MCI",123.846153846154,"niwa"
"NRWQN-00012","NAT-GS03","23-Mar-1992","MCI",123.333333333333,"niwa"
"EBOP-00045","NAT-GS04","25-Mar-1992","MCI",102,"niwa"
"NRWQN-00053","NAT-GY01","01-Apr-1992","MCI",110,"niwa"
"NRWQN-00036","NAT-WA01","07-Apr-1992","MCI",70,"niwa"
"NRWQN-00035","NAT-WA02","07-Apr-1992","MCI",129.545454545455,"niwa"
"TRC-00010","NAT-WA03","07-Apr-1992","MCI",86.9230769230769,"niwa"
"HRC-00018","NAT-WA07","08-Apr-1992","MCI",104,"niwa"
"NRWQN-00052","NAT-GY03","09-Apr-1992","MCI",134.782608695652,"niwa"
"HRC-00045","NAT-WA05","09-Apr-1992","MCI",122,"niwa"
"NRWQN-00018","NAT-WA06","09-Apr-1992","MCI",97.5,"niwa"
"HRC-00015","NAT-WA08","09-Apr-1992","MCI",104,"niwa"
"HRC-00013","NAT-WA09","09-Apr-1992","MCI",98,"niwa"
"NRWQN-00019","NAT-WA04","10-Apr-1992","MCI",110,"niwa"
"NRWQN-00042","NAT-HM03","12-Apr-1992","MCI",60,"niwa"
"NRWQN-00032","NAT-AX01","19-Apr-1992","MCI",80.9090909090909,"niwa"
"NRWQN-00031","NAT-AX03","19-Apr-1992","MCI",120.833333333333,"niwa"
"NRWQN-00009","NAT-CH01","23-Apr-1992","MCI",120,"niwa"
"NRWQN-00059","NAT-CH02","23-Apr-1992","MCI",114.285714285714,"niwa"
"NRWQN-00055","NAT-CH03","24-Apr-1992","MCI",130,"niwa"
"ECAN-10028","NAT-CH04","24-Apr-1992","MCI",111.111111111111,"niwa"
"NRWQN-00014","NAT-HV03","02-Feb-1993","MCI",96,"niwa"
"NRWQN-00016","NAT-HV06","02-Feb-1993","MCI",118.571428571429,"niwa"
"NRWQN-00015","NAT-HV04","03-Feb-1993","MCI",129.130434782609,"niwa"
"NRWQN-00013","NAT-HV01","04-Feb-1993","MCI",115.263157894737,"niwa"
"HBRC-00043","NAT-HV02","04-Feb-1993","MCI",93.3333333333333,"niwa"
"NRWQN-00019","NAT-WA04","07-Feb-1993","MCI",110.909090909091,"niwa"
"NRWQN-00035","NAT-WA02","08-Feb-1993","MCI",144,"niwa"
"TRC-00010","NAT-WA03","08-Feb-1993","MCI",98.421052631579,"niwa"
"NRWQN-00017","NAT-HV05","09-Feb-1993","MCI",97.6470588235294,"niwa"
"NRWQN-00038","NAT-TU02","09-Feb-1993","MCI",72.8571428571429,"niwa"
"NRWQN-00036","NAT-WA01","09-Feb-1993","MCI",81,"niwa"
"GW-00022","NAT-WN01","09-Feb-1993","MCI",105.263157894737,"niwa"
"NRWQN-00047","NAT-WN02","09-Feb-1993","MCI",137.916666666667,"niwa"
"NRWQN-00046","NAT-WN03","09-Feb-1993","MCI",103.333333333333,"niwa"
"NRWQN-00048","NAT-WN04","09-Feb-1993","MCI",110,"niwa"
"HRC-00062","NAT-TU01","10-Feb-1993","MCI",113.125,"niwa"
"HRC-00045","NAT-WA05","10-Feb-1993","MCI",105.714285714286,"niwa"
"HRC-00018","NAT-WA07","10-Feb-1993","MCI",109,"niwa"
"NRWQN-00018","NAT-WA06","11-Feb-1993","MCI",103.333333333333,"niwa"
"HRC-00015","NAT-WA08","11-Feb-1993","MCI",114.545454545455,"niwa"
"HRC-00013","NAT-WA09","11-Feb-1993","MCI",60,"niwa"
"NRWQN-00011","NAT-GS02","16-Feb-1993","MCI",117.083333333333,"niwa"
"NRWQN-00012","NAT-GS03","16-Feb-1993","MCI",122.916666666667,"niwa"
"NRWQN-00045","NAT-HM06","16-Feb-1993","MCI",81.5384615384615,"niwa"
"EBOP-00048","NAT-RO03","16-Feb-1993","MCI",110.416666666667,"niwa"
"NRWQN-00045","NAT-HM06","17-Feb-1993","MCI",79.4444444444444,"niwa"
"EBOP-00223","NAT-RO01","17-Feb-1993","MCI",106.111111111111,"niwa"
"EBOP-00049","NAT-RO05","17-Feb-1993","MCI",102,"niwa"
"NRWQN-00040","NAT-HM01","18-Feb-1993","MCI",123.103448275862,"niwa"
"NRWQN-00042","NAT-HM03","18-Feb-1993","MCI",78,"niwa"
"EBOP-00053","NAT-RO04","19-Feb-1993","MCI",117.096774193548,"niwa"
"NRWQN-00006","NAT-TK01","22-Feb-1993","MCI",105.882352941176,"niwa"
"NRWQN-00008","NAT-TK03","22-Feb-1993","MCI",123.04347826087,"niwa"
"NRWQN-00005","NAT-TK04","22-Feb-1993","MCI",90.5555555555556,"niwa"
"ECAN-10004","NAT-TK05","22-Feb-1993","MCI",112.5,"niwa"
"NRWQN-00003","NAT-TK06","22-Feb-1993","MCI",86.9230769230769,"niwa"
"NRWQN-00051","NAT-GY02","25-Feb-1993","MCI",118.333333333333,"niwa"
"NRWQN-00052","NAT-GY03","01-Mar-1993","MCI",131.052631578947,"niwa"
"NRWQN-00050","NAT-GY04","09-Mar-1993","MCI",126.666666666667,"niwa"
"NRWQN-00049","NAT-WN05","09-Mar-1993","MCI",136.25,"niwa"
"NRWQN-00053","NAT-GY01","15-Mar-1993","MCI",119.473684210526,"niwa"
"NRWQN-00027","NAT-AX04","16-Mar-1993","MCI",74.1666666666667,"niwa"
"ES-00010","NAT-DN08","16-Mar-1993","MCI",104,"niwa"
"ES-00001","NAT-DN09","16-Mar-1993","MCI",108.095238095238,"niwa"
"NRWQN-00034","NAT-DN10","16-Mar-1993","MCI",63.75,"niwa"
"ES-00021","NAT-DN05","17-Mar-1993","MCI",93.125,"niwa"
"ES-00024","NAT-DN06","17-Mar-1993","MCI",115.714285714286,"niwa"
"ES-00011","NAT-DN07","17-Mar-1993","MCI",126.875,"niwa"
"NRC-10008","NAT-WH01","17-Mar-1993","MCI",119.2,"niwa"
"NRWQN-00029","NAT-DN01","18-Mar-1993","MCI",102,"niwa"
"NRWQN-00028","NAT-DN02","18-Mar-1993","MCI",98.125,"niwa"
"NRWQN-00026","NAT-DN03","18-Mar-1993","MCI",108.095238095238,"niwa"
"NRWQN-00023","NAT-WH02","18-Mar-1993","MCI",77.6470588235294,"niwa"
"NRWQN-00030","NAT-AX02","19-Mar-1993","MCI",99.3333333333333,"niwa"
"NRWQN-00031","NAT-AX03","19-Mar-1993","MCI",122.857142857143,"niwa"
"NRWQN-00032","NAT-AX01","23-Mar-1993","MCI",80,"niwa"
"NRWQN-00009","NAT-CH01","24-Mar-1993","MCI",118.181818181818,"niwa"
