Site code,Date,Alkalinity Total,Ammoniacal nitrogen,Biochemical oxygen demand 5day,Black disc transparency,Conductivity @ 20'C,Dissolved Oxygen,Dissolved Oxygen Saturation %,Dissolved reactive phosphorus,E.coli bacteria,Enterococci bacteria,Faecal Coliforms,Flow,Nitrate nitrogen,pH,Suspended solids,Temperature,Total nitrogen,Total phosphorus,Turbidity,Adj Absorbance 340,Adj Absorbance 440,,Absorbance @ 340nm Filtered,Absorbance @ 440nm Filtered,Absorbance @ 770nm Filtered
PNH000200,08-Nov-95,22,0.013,0.6,1.75,8,10.7,103,0.014,,7,96,0.496,0.03,7.6,1,12.1,0.231,0.026,1.2,0.03,0.006,,0.033,0.007,0
PNH000900,08-Nov-95,36,0.086,0.8,2.18,16.9,10.7,104,0.028,,110,300,0.931,0.79,7.8,1,13.9,1.134,0.046,1.1,0.033,0.006,,0.06,0.013,0.001
STY000300,08-Nov-95,38,0.011,0.25,7.45,9.6,11.2,102,0.011,,1,4,4.2,0.02,7.9,1,10.2,0.171,0.016,0.3,0.005,0.001,,0.055,0.012,0
WGG000500,08-Nov-95,29,0.032,0.6,2.38,10.6,10.9,105,0.007,,21,140,1.62,1.04,7.8,1,12.7,1.189,0.024,0.9,0.013,0.003,,0.05,0.01,0
WKH000500,08-Nov-95,47,0.008,0.25,5.25,11.9,11.6,106,0.02,,9,220,3.91,0.06,8.2,1,10.4,0.341,0.031,0.4,0.01,0.002,,0.066,0.014,0.001
MGH000950,13-Dec-95,53,0.018,0.7,2.22,12.2,9,100,0.011,200,31,200,4.06,0.05,8.2,1,19.79999,0.201,0.016,2.1,0.052,0.011,,0.066,0.013,0
MRK000420,13-Dec-95,51,0.036,0.6,3.9,16.7,9.4,100,0.011,540,130,540,0.56,0.68,7.9,1,18.2,0.873,0.018,1,0.023,0.005,,0.048,0.01,0
PAT000200,13-Dec-95,27,0.009,0.25,5.4,7.3,9.6,96,0.029,16,3,19,0.157,0.02,7.6,1,12.7,0.121,0.033,0.3,0.012,0.003,,0.046,0.009,0.002
PAT000360,13-Dec-95,32,0.028,0.9,2.68,10.4,9.6,102,0.055,230,52,250,1.64,0.73,8.1,1,17.1,1.01,0.082,1.3,0.023,0.006,,0.042,0.009,0
PNH000200,13-Dec-95,24,0.016,0.25,2.82,8.5,9.2,100,0.033,100,31,110,0.236,0.01,7.8,1,17.6,0.101,0.041,0.8,0.021,0.004,,0.041,0.009,0
PNH000900,13-Dec-95,44,0.019,1,2.2,17.2,10.1,107,0.029,540,180,680,0.46,0.25,8.6,1,18.1,0.506,0.051,1.1,0.036,0.007,,0.078,0.017,0.001
STY000300,13-Dec-95,46,0.006,0.25,6.55,11.3,10.2,102,0.02,11,15,13,3.8,0.01,8.2,1,14.3,0.141,0.027,0.3,0.004,0.001,,0.05,0.011,0.002
WGG000500,13-Dec-95,35,0.016,0.9,2.5,11.6,9.6,105,0.018,160,44,190,0.81,0.77,8.1,2,18.29999,1.117,0.035,1.1,0.018,0.004,,0.076,0.017,0.002
WKH000500,13-Dec-95,61,0.01,0.6,3.2,14.7,10.2,104,0.037,240,25,240,2.61,0.04,8.5,1,15.4,0.142,0.047,0.6,0.01,0.002,,0.052,0.011,0.001
MGH000950,10-Jan-96,36,0.042,3.1,0.1,9.8,8.2,92,0.002,7100,2000,7200,9.45,0.1,7.4,94,20,0.832,0.184,60,0.077,0.016,,0.069,0.016,0.001
MRK000420,10-Jan-96,63,0.01,0.8,2.97,18.7,8.9,99,0.002,400,180,410,0.41,0.34,7.9,2,20.29999,0.563,0.014,1,0.026,0.006,,0.056,0.011,0.002
PAT000200,10-Jan-96,27,0.007,0.25,6.59,7.4,9.8,98,0.02,62,40,62,0.168,0.02,7.6,1,12.8,0.061,0.033,0.3,0.012,0.002,,0.044,0.01,0.002
PAT000360,10-Jan-96,29,0.065,1.7,1.28,10.2,9,99,0.049,3000,800,3000,1.82,0.84,7.9,3,18.79999,1.266,0.094,0.2,0.036,0.008,,0.072,0.016,0.001
PNH000200,10-Jan-96,25,0.01,0.25,2.96,8.5,9,97,0.027,260,54,270,0.259,0.02,7.8,1,17.5,0.101,0.039,0.7,0.023,0.004,,0.076,0.016,0.001
PNH000900,10-Jan-96,41,0.018,1,2.37,15.2,9.4,104,0.018,600,320,600,0.41,0.14,8.2,1,20.1,0.386,0.047,1.1,0.04,0.007,,0.045,0.009,0
STY000300,10-Jan-96,46,0.005,0.25,6.05,11.3,9.8,98,0.013,60,17,60,2.05,0.02,8,1,14.5,0.081,0.019,0.3,0.006,0.001,,0.046,0.009,0
WGG000500,10-Jan-96,36,0.013,0.8,3.15,11.8,9.6,106,0.009,440,200,440,0.63,0.62,8.2,1,19,0.815,0.027,1.1,0.024,0.005,,0.042,0.009,0
WKH000500,10-Jan-96,64,0.006,0.6,2.68,15.2,9.6,101,0.026,700,300,700,3,0.03,8.3,1,16.79999,0.181,0.043,0.6,0.013,0.003,,0.039,0.008,0
MGH000950,14-Feb-96,48,0.01,0.5,1.65,11.6,9.4,108,0.002,280,130,320,4.31,0.04,8.1,1,21.5,0.131,0.016,2,0.064,0.012,,0.053,0.011,0.001
MRK000420,14-Feb-96,68,0.03,0.7,2.28,19.6,8.8,94,0.004,750,550,780,0.38,0.48,7.8,2,18.29999,0.717,0.02,1.3,0.03,0.007,,0.065,0.014,0.001
PAT000200,14-Feb-96,24,0.0015,0.25,3.6,6.8,10,101,0.017,57,120,69,0.18,0.02,7.6,1,12.9,0.241,0.027,0.3,0.018,0.003,,0.093,0.02,0.001
PAT000360,14-Feb-96,32,0.013,0.8,2.25,10.2,9.9,110,0.065,190,380,210,1.66,0.47,8.7,2,19.2,0.941,0.094,1.2,0.031,0.007,,0.057,0.012,0
PNH000200,14-Feb-96,25,0.006,0.25,2.85,8.5,9.1,102,0.033,200,140,220,0.216,0.02,8,1,19.1,0.101,0.045,0.6,0.023,0.004,,0.085,0.018,0.001
PNH000900,14-Feb-96,39,0.029,0.9,1.73,14,9.2,103,0.033,740,800,760,0.39,0.11,7.9,2,21,0.474,0.063,1.1,0.049,0.009,,0.051,0.01,0
STY000300,14-Feb-96,42,0.0015,0.25,9.05,10.5,9.9,100,0.013,9,17,11,2.95,0.02,8,1,14.8,0.111,0.02,0.2,0.008,0.001,,0.058,0.012,0
