"CouncilSiteID","SiteID","LawaSiteID","LFENZID","LType","GeomorphicLType","Region","Agency","Catchment","Lat","Long","accessDate"
"SQ35888","lake denny mid lake","ecan-00351","41293","Polymictic","Glacial","canterbury","ecan","6930700",-43.6705678687313,171.121797633901,"14-Aug-2020"
"SQ34548","coopers lagoon/muriwai above beach culvert","ecan-00348","47568","Polymictic","Shoreline","canterbury","ecan","6840200",-43.8691838692639,172.302377495289,"14-Aug-2020"
"SQ36148","lake opuha above dam","lawa-101983","-16","Stratified","Dam","canterbury","ecan","6960930",-43.9963266083464,170.887256919136,"14-Aug-2020"
"Waituna Lagoon at Lagoon Centre","waituna lagoon at lagoon centre","es-000142","54742","Icoll","Shoreline","southland","es","coastal",-46.5638468025694,168.585736733704,"14-Aug-2020"
"Waituna Lagoon at Lagoon South","waituna lagoon at lagoon south","es-000158","54742","Icoll","Shoreline","southland","es","coastal",-46.5789352373036,168.588373793728,"14-Aug-2020"
"Waituna Lagoon at Lagoon West","waituna lagoon at lagoon west","es-000159","54742","Icoll","Shoreline","southland","es","coastal",-46.5639413340518,168.572835832534,"14-Aug-2020"
"Waituna Lagoon at Lagoon East","waituna lagoon at lagoon east","es-000157","54742","Icoll","Shoreline","southland","es","coastal",-46.56665103645,168.612953908959,"14-Aug-2020"
"Lake George NE","lake george ne","es-00144","28543","Polymictic","Unknown","southland","es","coastal",-46.3594988881867,167.865095433909,"14-Aug-2020"
"Lake Te Anau at South Fiord Top","lake te anau at south fiord top","lawa-100263","52566","Stratified","Glacial","southland","es","waiau river",-45.3453130111552,167.668640568176,"14-Aug-2020"
"Lake George SW","lake george sw","lawa-100215","28543","Polymictic","Unknown","southland","es","coastal",-46.3619112634276,167.858900890844,"14-Aug-2020"
"Lake Manapouri at Pomona Island Top","lake manapouri at pomona island top","lawa-100213","54735","Stratified","Glacial","southland","es","waiau river",-45.5270856329789,167.48453713052,"14-Aug-2020"
"Lake Manapouri at Stony Point Top","lake manapouri at stony point top","lawa-100211","54735","Stratified","Glacial","southland","es","waiau river",-45.5417050810108,167.584522621502,"14-Aug-2020"
