"Lake","FENZID","TLIYear","TLI","MixingPattern","GeomorphicType"
"lake rotoiti site 4",54730,2015,3.6,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2016,3.6,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2017,3.7,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2018,3.5,"Stratified","Volcanic"
"lake rotoiti site 4",54730,2019,3.7,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2004,4.8,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2005,4.2,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2006,4.2,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2007,4,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2008,3.8,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2009,3.8,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2010,3.9,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2011,4.5,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2012,3.9,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2013,3.8,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2014,4.3,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2015,4.4,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2016,4.5,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2017,4.4,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2018,4.4,"Stratified","Volcanic"
"lake rotoiti okawa bay",54730,2019,4.4,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2004,4.5,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2005,3.9,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2006,4,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2007,3.8,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2008,3.8,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2009,3.8,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2010,3.8,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2011,3.8,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2012,3.5,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2013,3.5,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2014,3.5,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2015,3.7,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2016,3.8,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2017,3.9,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2018,3.7,"Stratified","Volcanic"
"lake rotoiti site 3",54730,2019,3.9,"Stratified","Volcanic"
"lake rotoma site 1",40102,2004,2.6,"Stratified","Volcanic"
"lake rotoma site 1",40102,2005,2.6,"Stratified","Volcanic"
"lake rotoma site 1",40102,2006,2.7,"Stratified","Volcanic"
"lake rotoma site 1",40102,2007,2.6,"Stratified","Volcanic"
"lake rotoma site 1",40102,2008,2.7,"Stratified","Volcanic"
"lake rotoma site 1",40102,2009,2.2,"Stratified","Volcanic"
"lake rotoma site 1",40102,2010,2.2,"Stratified","Volcanic"
"lake rotoma site 1",40102,2011,2.4,"Stratified","Volcanic"
"lake rotoma site 1",40102,2012,2.4,"Stratified","Volcanic"
